Dataset	HMM Family	ORF	HMM E-val	Aligned Length	Closest Homolog	%id of Closest Homolog	Closest Homolog Species	Closest Homolog Genus	Closest Homolog Family	Closest Homolog Order	Closest Homolog Class	Closest Homolog Phylum	Closest Homolog Superkingdom
CA_L227_2014_106_20	cyc2_7GSB_1	CA_L227_2014_106__03063_hypothetical_protein_ma8_2_to_63	2.5e-06	62			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_37_24	cyc2_7GSB_1	CA_L227_2014_37__00930_hypothetical_protein_ma9_20_to_148	2e-14	129			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_88_30	cyc2_7GSB_1	CA_L227_2014_88__00389_hypothetical_protein_ma10_6_to_81	1.4e-07	76			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_92_31	cyc2_7GSB_1	CA_L227_2014_92__01344_hypothetical_protein_ma13_8_to_51	1.3e-05	44			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_92_31	cyc2_7GSB_1	CA_L227_2014_92__00539_hypothetical_protein_ma12_3_to_413	2.5e-200	411	gi|493411430|ref|WP_006367388.1|	54.8	Chlorobium ferrooxidans	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2014_92_31	cyc2_7GSB_1	CA_L227_2014_92__01763_hypothetical_protein_ma11_2_to_418	2.1e-205	417	gi|493411430|ref|WP_006367388.1|	52.6	Chlorobium ferrooxidans	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L442_2_37	cyc2_7GSB_1	CA_L442_2__02700_hypothetical_protein_ma14_15_to_135	5.5e-16	121	gi|981146760|ref|WP_059422050.1|	64.9	Sulfuricella sp. T08	Sulfuricella	Sulfuricellaceae	Sulfuricellales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L442_2_37	cyc2_7GSB_1	CA_L442_2__01967_hypothetical_protein_ma15_14_to_139	3.6e-11	126			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_70_43	cyc2_7GSB_1	CA_L442_70__01747_hypothetical_protein_ma16_4_to_421	4.4e-81	418	gi|502793429|ref|WP_013028405.1|	67.4	Sideroxydans lithotrophicus	Sideroxydans	Gallionellaceae	Gallionellales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L442_71_44	cyc2_7GSB_1	CA_L442_71__00809_hypothetical_protein_ma17_1_to_74	2.9e-14	74	gi|518704822|ref|WP_019865919.1|	57.1	Methylovulum miyakonense	Methylovulum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
CA_L442_75_47	cyc2_7GSB_1	CA_L442_75__00831_hypothetical_protein_ma18_28_to_147	2.3e-12	120			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_84_49	cyc2_7GSB_1	CA_L442_84__00357_hypothetical_protein_ma19_13_to_148	2.4e-16	136			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_84_49	cyc2_7GSB_1	CA_L442_84__03042_hypothetical_protein_ma20_24_to_79	2.1e-11	56			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_8m_001_52	cyc2_7GSB_1	L227_2013_8m_001__03753_hypothetical_protein_ma21_25_to_154	3.1e-15	130	gi|493948684|ref|WP_006892594.1|	73.1	Methylobacter tundripaludum	Methylobacter	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L227_2014_6m_013_59	cyc2_7GSB_1	L227_2014_6m_013__00365_hypothetical_protein_ma22_8_to_146	4.9e-14	139	gi|518704822|ref|WP_019865919.1|	58.6	Methylovulum miyakonense	Methylovulum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L227_S_6D_001_1_contigs_65	cyc2_7GSB_1	L227_S_6D_001_1_contigs__00349_hypothetical_protein_ma23_1_to_423	7.3e-212	423	gi|493411430|ref|WP_006367388.1|	55.4	Chlorobium ferrooxidans	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
L227_S_6D_001_1_contigs_65	cyc2_7GSB_1	L227_S_6D_001_1_contigs__00340_hypothetical_protein_ma24_9_to_63	2.5e-10	55			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_Fe_6C_001_1_contigs_68	cyc2_7GSB_1	L304_Fe_6C_001_1_contigs__02259_hypothetical_protein_ma26_19_to_75	1.6e-09	57			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_Fe_6C_001_1_contigs_68	cyc2_7GSB_1	L304_Fe_6C_001_1_contigs__02188_hypothetical_protein_ma25_1_to_66	5e-12	66			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_S_6D_001_1_contigs_69	cyc2_7GSB_1	L304_S_6D_001_1_contigs__01790_hypothetical_protein_ma29_2_to_66	2.9e-10	65			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_S_6D_001_1_contigs_69	cyc2_7GSB_1	L304_S_6D_001_1_contigs__01438_hypothetical_protein_ma28_10_to_61	6.4e-10	52			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_S_6D_001_1_contigs_69	cyc2_7GSB_1	L304_S_6D_001_1_contigs__00448_hypothetical_protein_ma27_1_to_413	1e-211	413			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L442_2011_16_5m_005_71	cyc2_7GSB_1	L442_2011_16_5m_005__02062_hypothetical_protein_ma31_12_to_151	5.5e-15	140			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L442_2011_16_5m_005_71	cyc2_7GSB_1	L442_2011_16_5m_005__02494_hypothetical_protein_ma30_14_to_158	1.1e-15	145	gi|493948684|ref|WP_006892594.1|	70.6	Methylobacter tundripaludum	Methylobacter	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L442_2011_16_5m_007_73	cyc2_7GSB_1	L442_2011_16_5m_007__01101_hypothetical_protein_ma32_8_to_74	1.9e-13	67	gi|518704822|ref|WP_019865919.1|	59.1	Methylovulum miyakonense	Methylovulum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
CA_L227_2013_22_1_contigs_3	cyc2_reference_genomes_2	CA_L227_2013_22_1_contigs__01451_hypothetical_protein_ma0_23_to_453	3.3e-12	431			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_22_1_contigs_3	cyc2_reference_genomes_2	CA_L227_2013_22_1_contigs__01483_hypothetical_protein_ma1_6_to_165	8.4e-13	160			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_55_contigs_12	cyc2_reference_genomes_2	CA_L227_2013_55_contigs__00196_hypothetical_protein_ma2_19_to_437	1e-17	419			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_reference_genomes_2	CA_L227_2013_56_1_contigs__01244_hypothetical_protein_ma7_8_to_278	1.4e-13	271			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_reference_genomes_2	CA_L227_2013_56_1_contigs__00256_hypothetical_protein_ma5_1_to_259	1.4e-18	259			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_reference_genomes_2	CA_L227_2013_56_1_contigs__01923_hypothetical_protein_ma6_5_to_286	2.4e-14	282			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_reference_genomes_2	CA_L227_2013_56_1_contigs__00970_hypothetical_protein_ma4_23_to_465	3.2e-20	443			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_reference_genomes_2	CA_L227_2013_56_1_contigs__00797_hypothetical_protein_ma3_7_to_418	3.2e-154	412			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_106_20	cyc2_reference_genomes_2	CA_L227_2014_106__03063_hypothetical_protein_ma8_1_to_162	5.5e-12	162			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_37_24	cyc2_reference_genomes_2	CA_L227_2014_37__00930_hypothetical_protein_ma9_19_to_482	4.8e-27	464			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_88_30	cyc2_reference_genomes_2	CA_L227_2014_88__00389_hypothetical_protein_ma10_3_to_223	3.3e-16	221			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_92_31	cyc2_reference_genomes_2	CA_L227_2014_92__01344_hypothetical_protein_ma13_6_to_240	7.1e-15	235			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_92_31	cyc2_reference_genomes_2	CA_L227_2014_92__00539_hypothetical_protein_ma12_3_to_413	9.8e-146	411	gi|493411430|ref|WP_006367388.1|	54.8	Chlorobium ferrooxidans	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2014_92_31	cyc2_reference_genomes_2	CA_L227_2014_92__01763_hypothetical_protein_ma11_2_to_418	7.3e-150	417	gi|493411430|ref|WP_006367388.1|	52.6	Chlorobium ferrooxidans	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L442_2_37	cyc2_reference_genomes_2	CA_L442_2__01967_hypothetical_protein_ma14_15_to_457	1.3e-55	443	gi|917720179|ref|WP_052234513.1|	54.3	unclassified	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L442_2_37	cyc2_reference_genomes_2	CA_L442_2__02700_hypothetical_protein_ma15_18_to_491	1.8e-44	474	gi|496498335|ref|WP_009206871.1|	64.3	Sulfuricella denitrificans	Sulfuricella	Sulfuricellaceae	Sulfuricellales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L442_64_1_contigs_42	cyc2_reference_genomes_2	CA_L442_64_1_contigs__00659_hypothetical_protein_ma16_1_to_438	1.5e-11	438			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_70_43	cyc2_reference_genomes_2	CA_L442_70__01747_hypothetical_protein_ma17_1_to_424	6.2e-136	424	gi|502793429|ref|WP_013028405.1|	67.4	Sideroxydans lithotrophicus	Sideroxydans	Gallionellaceae	Gallionellales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L442_71_44	cyc2_reference_genomes_2	CA_L442_71__00809_hypothetical_protein_ma18_14_to_441	2e-46	428	gi|518704822|ref|WP_019865919.1|	57.1	Methylovulum miyakonense	Methylovulum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
CA_L442_74_46	cyc2_reference_genomes_2	CA_L442_74__00002_hypothetical_protein_ma19_1_to_211	2.8e-12	211			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_75_47	cyc2_reference_genomes_2	CA_L442_75__00831_hypothetical_protein_ma20_26_to_461	4.9e-44	436			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_84_49	cyc2_reference_genomes_2	CA_L442_84__03042_hypothetical_protein_ma22_22_to_454	9e-47	433			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_84_49	cyc2_reference_genomes_2	CA_L442_84__00357_hypothetical_protein_ma21_10_to_468	1.1e-57	459			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_8m_001_52	cyc2_reference_genomes_2	L227_2013_8m_001__03753_hypothetical_protein_ma23_25_to_478	2.6e-48	454	gi|493948684|ref|WP_006892594.1|	73.1	Methylobacter tundripaludum	Methylobacter	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L227_2014_6m_013_59	cyc2_reference_genomes_2	L227_2014_6m_013__00365_hypothetical_protein_ma24_13_to_456	6.4e-48	444	gi|518704822|ref|WP_019865919.1|	58.6	Methylovulum miyakonense	Methylovulum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L227_S_6D_001_1_contigs_65	cyc2_reference_genomes_2	L227_S_6D_001_1_contigs__00349_hypothetical_protein_ma25_5_to_423	7.3e-149	419	gi|493411430|ref|WP_006367388.1|	55.4	Chlorobium ferrooxidans	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
L227_S_6D_001_1_contigs_65	cyc2_reference_genomes_2	L227_S_6D_001_1_contigs__00340_hypothetical_protein_ma26_8_to_306	8.9e-19	299			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_Fe_6C_001_1_contigs_68	cyc2_reference_genomes_2	L304_Fe_6C_001_1_contigs__02188_hypothetical_protein_ma28_3_to_418	8.1e-14	416			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_Fe_6C_001_1_contigs_68	cyc2_reference_genomes_2	L304_Fe_6C_001_1_contigs__02259_hypothetical_protein_ma27_18_to_245	1.2e-17	228			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_S_6D_001_1_contigs_69	cyc2_reference_genomes_2	L304_S_6D_001_1_contigs__01790_hypothetical_protein_ma31_9_to_386	2.4e-12	378			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_S_6D_001_1_contigs_69	cyc2_reference_genomes_2	L304_S_6D_001_1_contigs__01438_hypothetical_protein_ma30_1_to_368	4.1e-17	368			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_S_6D_001_1_contigs_69	cyc2_reference_genomes_2	L304_S_6D_001_1_contigs__00448_hypothetical_protein_ma29_7_to_413	7.8e-157	407			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L442_2011_16_5m_005_71	cyc2_reference_genomes_2	L442_2011_16_5m_005__02062_hypothetical_protein_ma33_22_to_481	4.6e-29	460			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L442_2011_16_5m_005_71	cyc2_reference_genomes_2	L442_2011_16_5m_005__02494_hypothetical_protein_ma32_18_to_467	3.3e-50	450	gi|493948684|ref|WP_006892594.1|	70.6	Methylobacter tundripaludum	Methylobacter	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L442_2011_16_5m_005_71	cyc2_reference_genomes_2	L442_2011_16_5m_005__02264_hypothetical_protein_ma34_10_to_68	0.001	59			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L442_2011_16_5m_007_73	cyc2_reference_genomes_2	L442_2011_16_5m_007__01101_hypothetical_protein_ma35_8_to_443	4.1e-46	436	gi|518704822|ref|WP_019865919.1|	59.1	Methylovulum miyakonense	Methylovulum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
CA_L227_2013_22_1_contigs_3	cyc2_reference_genomes_plus4GSB_3	CA_L227_2013_22_1_contigs__01451_hypothetical_protein_ma0_23_to_453	3.3e-12	431			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_22_1_contigs_3	cyc2_reference_genomes_plus4GSB_3	CA_L227_2013_22_1_contigs__01483_hypothetical_protein_ma1_6_to_165	8.4e-13	160			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_55_contigs_12	cyc2_reference_genomes_plus4GSB_3	CA_L227_2013_55_contigs__00196_hypothetical_protein_ma2_19_to_437	1e-17	419			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_reference_genomes_plus4GSB_3	CA_L227_2013_56_1_contigs__01244_hypothetical_protein_ma7_8_to_278	1.4e-13	271			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_reference_genomes_plus4GSB_3	CA_L227_2013_56_1_contigs__00256_hypothetical_protein_ma5_1_to_259	1.4e-18	259			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_reference_genomes_plus4GSB_3	CA_L227_2013_56_1_contigs__01923_hypothetical_protein_ma6_5_to_286	2.4e-14	282			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_reference_genomes_plus4GSB_3	CA_L227_2013_56_1_contigs__00970_hypothetical_protein_ma4_23_to_465	3.2e-20	443			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_reference_genomes_plus4GSB_3	CA_L227_2013_56_1_contigs__00797_hypothetical_protein_ma3_7_to_418	3.2e-154	412			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_106_20	cyc2_reference_genomes_plus4GSB_3	CA_L227_2014_106__03063_hypothetical_protein_ma8_1_to_162	5.5e-12	162			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_37_24	cyc2_reference_genomes_plus4GSB_3	CA_L227_2014_37__00930_hypothetical_protein_ma9_19_to_482	4.8e-27	464			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_88_30	cyc2_reference_genomes_plus4GSB_3	CA_L227_2014_88__00389_hypothetical_protein_ma10_3_to_223	3.3e-16	221			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_92_31	cyc2_reference_genomes_plus4GSB_3	CA_L227_2014_92__01344_hypothetical_protein_ma13_6_to_240	7.1e-15	235			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
