genome	metagenome	mapped_reads	coverage_mean	coverage_sd	genome_length_bp	genome_num_contigs	metagenome_total_reads
CA-L227-2014.61	L227_S_6D	0	NA	NA	4482382	138	11560348
CA_L227_2013_22_1-contigs	L304_S_6D	60	0.00149897914351433	0.10586040289537	2553738	57	10246102
CA_L227_2013_22_1-contigs	L227_S_6D	80	0.0019297202767081	0.0931498156722501	2553738	57	11560348
CA-L442.84	L304_S_6D	0	NA	NA	3545604	224	10246102
CA-L442.84	L227_S_6D	0	NA	NA	3545604	224	11560348
L227-2014-6m.011	L304_S_6D	0	NA	NA	3795583	1072	10246102
L227-2014-6m.011	L227_S_6D	0	NA	NA	3795583	1072	11560348
L442-2014-15m.004	L304_S_6D	0	NA	NA	2740713	511	10246102
L442-2014-15m.004	L227_S_6D	2	4.23247527194566e-05	0.00920042091099758	2740713	511	11560348
CA-L442.71	L304_S_6D	0	NA	NA	2149082	509	10246102
CA-L442.71	L227_S_6D	0	NA	NA	2149082	509	11560348
CA-L227-2014.13	L304_S_6D	0	NA	NA	3501019	559	10246102
CA-L227-2014.13	L227_S_6D	0	NA	NA	3501019	559	11560348
L442-2014-15m.013	L304_S_6D	0	NA	NA	3275600	990	10246102
L442-2014-15m.013	L227_S_6D	0	NA	NA	3275600	990	11560348
L227-2014-6m.006	L304_S_6D	0	NA	NA	3649552	747	10246102
L227-2014-6m.006	L227_S_6D	10	0.000187420264185851	0.0330394614024464	3649552	747	11560348
CA-L227-2013.23	L304_S_6D	0	NA	NA	2320130	181	10246102
CA-L227-2013.23	L227_S_6D	0	NA	NA	2320130	181	11560348
L442-2014-15m.012	L304_S_6D	0	NA	NA	3237133	1057	10246102
L442-2014-15m.012	L227_S_6D	0	NA	NA	3237133	1057	11560348
CA-L442.70	L304_S_6D	0	NA	NA	2581937	130	10246102
CA-L442.70	L227_S_6D	0	NA	NA	2581937	130	11560348
CA-L442.2	L304_S_6D	0	NA	NA	2973822	474	10246102
CA-L442.2	L227_S_6D	0	NA	NA	2973822	474	11560348
CA-L442.63	L304_S_6D	0	NA	NA	3733343	731	10246102
CA-L442.63	L227_S_6D	0	NA	NA	3733343	731	11560348
CA-L227-2013.31	L304_S_6D	0	NA	NA	7668099	986	10246102
CA-L227-2013.31	L227_S_6D	0	NA	NA	7668099	986	11560348
L442-2011-16-5m.005	L304_S_6D	0	NA	NA	2960572	484	10246102
L442-2011-16-5m.005	L227_S_6D	0	NA	NA	2960572	484	11560348
CA_L227_2013_56_1-contigs	L304_S_6D	46	0.00138182876041156	0.105658561454345	2089984	140	10246102
CA_L227_2013_56_1-contigs	L227_S_6D	88	0.00266222133757962	0.111538606389732	2089984	140	11560348
CA-L227-2014.49	L304_S_6D	0	NA	NA	3622852	287	10246102
CA-L227-2014.49	L227_S_6D	0	NA	NA	3622852	287	11560348
CA-L442.74	L304_S_6D	34	0.000955016877295867	0.0808521644694657	2188443	282	10246102
CA-L442.74	L227_S_6D	286	0.00860246302965167	0.238105517122839	2188443	282	11560348
CA-L442.75	L304_S_6D	0	NA	NA	3804011	188	10246102
CA-L442.75	L227_S_6D	2	6.62458652196326e-05	0.00813888776913444	3804011	188	11560348
CA-L442.82	L304_S_6D	0	NA	NA	4569773	837	10246102
CA-L442.82	L227_S_6D	0	NA	NA	4569773	837	11560348
L227-2014-6m.015	L304_S_6D	0	NA	NA	1061761	63	10246102
L227-2014-6m.015	L227_S_6D	702	0.0756337819904856	3.20750361539202	1061761	63	11560348
CA-L227-2013.30	L304_S_6D	0	NA	NA	2739537	153	10246102
CA-L227-2013.30	L227_S_6D	0	NA	NA	2739537	153	11560348
CA-L227-2013.78	L304_S_6D	0	NA	NA	4016155	176	10246102
CA-L227-2013.78	L227_S_6D	0	NA	NA	4016155	176	11560348
CA-L442.12	L304_S_6D	0	NA	NA	3852327	423	10246102
CA-L442.12	L227_S_6D	0	NA	NA	3852327	423	11560348
L227-2014-8m.009	L304_S_6D	0	NA	NA	3471260	998	10246102
L227-2014-8m.009	L227_S_6D	0	NA	NA	3471260	998	11560348
CA_L227_2013_55-contigs	L304_S_6D	86	0.00221183461726987	0.118173760093784	2380829	208	10246102
CA_L227_2013_55-contigs	L227_S_6D	112	0.00317116432973557	0.146204585799164	2380829	208	11560348
CA-L442.60	L304_S_6D	0	NA	NA	2990753	578	10246102
CA-L442.60	L227_S_6D	0	NA	NA	2990753	578	11560348
L442-2011-16-5m.006	L304_S_6D	0	NA	NA	3305953	125	10246102
L442-2011-16-5m.006	L227_S_6D	6	0.000201454769623162	0.0176670217612531	3305953	125	11560348
L442-2011-16-5m.007	L304_S_6D	0	NA	NA	2180450	336	10246102
L442-2011-16-5m.007	L227_S_6D	0	NA	NA	2180450	336	11560348
CA-L227-2013.43	L304_S_6D	0	NA	NA	4814546	309	10246102
CA-L227-2013.43	L227_S_6D	0	NA	NA	4814546	309	11560348
L227-2013-8m.008	L304_S_6D	0	NA	NA	2526825	206	10246102
L227-2013-8m.008	L227_S_6D	0	NA	NA	2526825	206	11560348
CA-L227-2013.65	L304_S_6D	0	NA	NA	3252499	193	10246102
CA-L227-2013.65	L227_S_6D	18	0.000642582826312937	0.0272921309627332	3252499	193	11560348
L442-2011-16-5m.021	L304_S_6D	0	NA	NA	3088365	318	10246102
L442-2011-16-5m.021	L227_S_6D	0	NA	NA	3088365	318	11560348
CA-L227-2013.15	L304_S_6D	0	NA	NA	1224297	180	10246102
CA-L227-2013.15	L227_S_6D	0	NA	NA	1224297	180	11560348
CA-L442.18	L304_S_6D	0	NA	NA	2232130	293	10246102
CA-L442.18	L227_S_6D	0	NA	NA	2232130	293	11560348
L227-2013-8m.001	L304_S_6D	0	NA	NA	4606008	942	10246102
L227-2013-8m.001	L227_S_6D	4	5.25400737471581e-05	0.0102507272838608	4606008	942	11560348
L442-2011-16-5m.018	L304_S_6D	0	NA	NA	1881341	224	10246102
L442-2011-16-5m.018	L227_S_6D	24	0.000988656495552906	0.122773712368759	1881341	224	11560348
CA-L442.19	L304_S_6D	0	NA	NA	3747857	445	10246102
CA-L442.19	L227_S_6D	8	0.000133943210746835	0.0257855685558588	3747857	445	11560348
CA-L227-2014.24	L304_S_6D	0	NA	NA	3229520	296	10246102
CA-L227-2014.24	L227_S_6D	0	NA	NA	3229520	296	11560348
CA-L227-2013.6	L304_S_6D	0	NA	NA	3260193	376	10246102
CA-L227-2013.6	L227_S_6D	2	7.7296037381836e-05	0.00903240344691338	3260193	376	11560348
CA-L227-2013.64	L304_S_6D	0	NA	NA	778428	11	10246102
CA-L227-2013.64	L227_S_6D	0	NA	NA	778428	11	11560348
L304_Fe_6C_001_1-contigs	L304_S_6D	472	0.0165081705794808	0.937799735569351	2424981	112	10246102
L304_Fe_6C_001_1-contigs	L227_S_6D	520	0.0179139547897489	0.573498353981494	2424981	112	11560348
CA-L227-2013.49	L304_S_6D	0	NA	NA	3883617	548	10246102
CA-L227-2013.49	L227_S_6D	0	NA	NA	3883617	548	11560348
L442-2014-15m.009	L304_S_6D	0	NA	NA	4018951	912	10246102
L442-2014-15m.009	L227_S_6D	130	0.00346732269191637	0.393013888887473	4018951	912	11560348
CA-L227-2013.67	L304_S_6D	0	NA	NA	9368469	1612	10246102
CA-L227-2013.67	L227_S_6D	0	NA	NA	9368469	1612	11560348
CA-L227-2013.48	L304_S_6D	0	NA	NA	2288262	412	10246102
CA-L227-2013.48	L227_S_6D	0	NA	NA	2288262	412	11560348
CA-L227-2013.83	L304_S_6D	0	NA	NA	4552040	379	10246102
CA-L227-2013.83	L227_S_6D	0	NA	NA	4552040	379	11560348
CA-L227-2013.13	L304_S_6D	0	NA	NA	4011865	234	10246102
CA-L227-2013.13	L227_S_6D	0	NA	NA	4011865	234	11560348
L442-2011-16-5m.008	L304_S_6D	32	0.00101674263370981	0.0811943040414846	1963132	520	10246102
L442-2011-16-5m.008	L227_S_6D	1696	0.0803965296271468	2.42432045779579	1963132	520	11560348
CA-L442.57	L304_S_6D	0	NA	NA	3025147	329	10246102
CA-L442.57	L227_S_6D	0	NA	NA	3025147	329	11560348
CA-L227-2014.52	L304_S_6D	0	NA	NA	1632286	219	10246102
CA-L227-2014.52	L227_S_6D	0	NA	NA	1632286	219	11560348
CA-L227-2014.88	L304_S_6D	0	NA	NA	4121236	151	10246102
CA-L227-2014.88	L227_S_6D	2	3.05733522661648e-05	0.00781957701152813	4121236	151	11560348
CA-L227-2014.37	L304_S_6D	0	NA	NA	2869831	422	10246102
CA-L227-2014.37	L227_S_6D	0	NA	NA	2869831	422	11560348
CA_L442_64_1-contigs	L304_S_6D	48	0.00158944189537262	0.112190472851669	1900038	128	10246102
CA_L442_64_1-contigs	L227_S_6D	224	0.00759037450829931	0.205202048860257	1900038	128	11560348
L227-2014-6m.034	L304_S_6D	0	NA	NA	4177497	840	10246102
L227-2014-6m.034	L227_S_6D	2	4.06942243166183e-05	0.00902146396631607	4177497	840	11560348
CA-L227-2013.3	L304_S_6D	0	NA	NA	3434307	354	10246102
CA-L227-2013.3	L227_S_6D	2	7.04654534379134e-05	0.00839407580228138	3434307	354	11560348
L227-2014-8m.010	L304_S_6D	0	NA	NA	2449690	430	10246102
L227-2014-8m.010	L227_S_6D	0	NA	NA	2449690	430	11560348
CA-L227-2014.46	L304_S_6D	0	NA	NA	1928369	286	10246102
CA-L227-2014.46	L227_S_6D	2	0.000126531799671121	0.0112479266970625	1928369	286	11560348
L227-2013-8m.005	L304_S_6D	0	NA	NA	2242000	433	10246102
L227-2013-8m.005	L227_S_6D	6	0.00016057091882248	0.0298669595871375	2242000	433	11560348
CA-L442.33	L304_S_6D	0	NA	NA	1369582	170	10246102
CA-L442.33	L227_S_6D	0	NA	NA	1369582	170	11560348
L227-2014-8m.007	L304_S_6D	0	NA	NA	1457132	108	10246102
L227-2014-8m.007	L227_S_6D	0	NA	NA	1457132	108	11560348
