Dataset	HMM Family	ORF	HMM E-val	Aligned Length	Closest Homolog	%id of Closest Homolog	Closest Homolog Species	Closest Homolog Genus	Closest Homolog Family	Closest Homolog Order	Closest Homolog Class	Closest Homolog Phylum	Closest Homolog Superkingdom
CA_L442_84_45	cyc2_Chlorobia_0	CA-L442_19452_22_19573_20982_-1_ID_23_22_partial_00_start_type_ATG_rbs_motif_AGGAG_rbs_spacer_5-10bp_gc_cont_0_546_ma12_13_to_148	1.1e-16	136			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_8m_001_48	cyc2_Chlorobia_0	L227-2013-8m_12731_2_769_2205_-1_ID_559_2_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_454_ma14_25_to_154	3.9e-15	130	gi|493948684|ref|WP_006892594.1|	73.1	Methylobacter tundripaludum	Methylobacter	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L227_2013_8m_001_48	cyc2_Chlorobia_0	L227-2013-8m_20649_1_2_403_-1_ID_709_1_partial_10_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_445_ma15_15_to_74	1.7e-13	60			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_bin22_51	cyc2_Chlorobia_0	CA-L227-2013_160694_41_36065_37441_1_ID_26_41_partial_00_start_type_ATG_rbs_motif_GGAG_GAGG_rbs_spacer_5-10bp_gc_cont_0_481_ma16_16_to_75	8.6e-10	60			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_bin55_52	cyc2_Chlorobia_0	CA-L227-2013_13799_3_1014_2348_1_ID_66_3_partial_00_start_type_ATG_rbs_motif_AAA_rbs_spacer_14bp_gc_cont_0_470_ma17_18_to_78	4.5e-10	61			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_bin56_53	cyc2_Chlorobia_0	CA-L227-2013_20535_9_6420_7676_1_ID_10_9_partial_00_start_type_ATG_rbs_motif_TAA_rbs_spacer_11bp_gc_cont_0_453_ma18_1_to_418	9.2e-210	418			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_bin56_53	cyc2_Chlorobia_0	CA-L227-2013_46468_12_9682_10929_-1_ID_107_12_partial_00_start_type_ATG_rbs_motif_TAA_rbs_spacer_9bp_gc_cont_0_465_ma20_7_to_64	8.4e-10	58			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_bin56_53	cyc2_Chlorobia_0	CA-L227-2013_66165_4_2912_4261_1_ID_122_4_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_456_ma22_7_to_63	6.6e-06	57			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_bin56_53	cyc2_Chlorobia_0	CA-L227-2013_13664_2_895_2142_-1_ID_135_2_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_458_ma21_10_to_64	8e-09	55			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_bin56_53	cyc2_Chlorobia_0	CA-L227-2013_45008_25_24430_25833_1_ID_43_25_partial_00_start_type_ATG_rbs_motif_TAA_rbs_spacer_11bp_gc_cont_0_455_ma19_20_to_75	7.9e-10	56			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2014_6m_013_58	cyc2_Chlorobia_0	L227-2014-6m_41_48_51261_52646_-1_ID_4_48_partial_00_start_type_ATG_rbs_motif_AGGA_rbs_spacer_5-10bp_gc_cont_0_404_ma23_7_to_146	2.7e-14	140	gi|518704822|ref|WP_019865919.1|	58.6	Methylovulum miyakonense	Methylovulum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L227_2014_6m_015_59	cyc2_Chlorobia_0	L227-2014-6m_54207_1_1_285_-1_ID_62_1_partial_10_start_type_ATG_rbs_motif_ATAA_rbs_spacer_11bp_gc_cont_0_467_ma24_16_to_75	4.5e-11	60			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_enr_S_6D_bin01_66	cyc2_Chlorobia_0	L227_S_6D_2_274_314191_315462_1_ID_2_274_partial_00_start_type_ATG_rbs_motif_AAA_rbs_spacer_13bp_gc_cont_0_474_ma26_8_to_63	3.1e-10	56			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_enr_S_6D_bin01_66	cyc2_Chlorobia_0	L227_S_6D_2_283_322944_324215_1_ID_2_283_partial_00_start_type_ATG_rbs_motif_AAA_rbs_spacer_13bp_gc_cont_0_444_ma25_3_to_423	7.8e-209	421	gi|493411430|ref|WP_006367388.1|	55.4	Chlorobium ferrooxidans	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
L304_enr_S_6D_bin01_67	cyc2_Chlorobia_0	L304_S_6D_2_227_244526_245857_-1_ID_14_227_partial_00_start_type_ATG_rbs_motif_AAA_rbs_spacer_13bp_gc_cont_0_529_ma29_11_to_66	8.1e-10	56			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_enr_S_6D_bin01_67	cyc2_Chlorobia_0	L304_S_6D_3_133_140560_141858_1_ID_3_133_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_477_ma28_9_to_61	7.2e-10	53			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_enr_S_6D_bin01_67	cyc2_Chlorobia_0	L304_S_6D_0_450_464921_466162_1_ID_10_450_partial_00_start_type_ATG_rbs_motif_AAA_rbs_spacer_13bp_gc_cont_0_470_ma27_1_to_413	2.1e-212	413			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L442_2011_16_5m_005_69	cyc2_Chlorobia_0	L442-2011-16-5m_29816_1_3_1415_1_ID_401_1_partial_10_start_type_Edge_rbs_motif_None_rbs_spacer_None_gc_cont_0_442_ma30_17_to_158	1e-15	142	gi|493948684|ref|WP_006892594.1|	70.6	Methylobacter tundripaludum	Methylobacter	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L442_2011_16_5m_005_69	cyc2_Chlorobia_0	L442-2011-16-5m_7632_4_2607_4070_1_ID_210_4_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_467_ma31_15_to_152	5.3e-15	138			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L442_2011_16_5m_007_71	cyc2_Chlorobia_0	L442-2011-16-5m_1945_9_8697_10046_1_ID_63_9_partial_00_start_type_ATG_rbs_motif_AGGA_rbs_spacer_5-10bp_gc_cont_0_412_ma32_7_to_74	9.5e-14	68	gi|518704822|ref|WP_019865919.1|	59.1	Methylovulum miyakonense	Methylovulum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
CA_L227_2014_106_17	cyc2_all_references_1	CA-L227-2014_185229_3_982_2379_-1_ID_379_3_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_498_ma0_1_to_157	3.4e-12	157			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_13_19	cyc2_all_references_1	CA-L227-2014_310794_1_1_201_1_ID_538_1_partial_10_start_type_Edge_rbs_motif_None_rbs_spacer_None_gc_cont_0_478_ma1_8_to_66	6.1e-08	59	gi|659876269|ref|WP_029923044.1|	50.0	Nevskia soli	Nevskia	Sinobacteraceae	Nevskiales	Gammaproteobacteria	Proteobacteria	Bacteria
CA_L227_2014_37_21	cyc2_all_references_1	CA-L227-2014_53546_4_4458_5060_1_ID_119_4_partial_01_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_421_ma2_14_to_143	5.9e-35	130	gi|493948684|ref|WP_006892594.1|	67.9	Methylobacter tundripaludum	Methylobacter	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
CA_L227_2014_37_21	cyc2_all_references_1	CA-L227-2014_62224_4_3264_4730_1_ID_130_4_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_455_ma3_17_to_482	1.8e-26	466			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_88_27	cyc2_all_references_1	CA-L227-2014_19527_33_35808_37085_-1_ID_13_33_partial_00_start_type_ATG_rbs_motif_AATAA_rbs_spacer_11bp_gc_cont_0_447_ma4_1_to_199	3.6e-16	199			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_92_28	cyc2_all_references_1	CA-L227-2014_238212_3_1093_2349_1_ID_380_3_partial_00_start_type_ATG_rbs_motif_AAA_rbs_spacer_15bp_gc_cont_0_469_ma5_1_to_418	4e-149	418	gi|493411430|ref|WP_006367388.1|	52.6	Chlorobium ferrooxidans	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2014_92_28	cyc2_all_references_1	CA-L227-2014_64247_2_977_2218_-1_ID_117_2_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_477_ma6_2_to_413	5.4e-146	412	gi|493411430|ref|WP_006367388.1|	54.8	Chlorobium ferrooxidans	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2014_92_28	cyc2_all_references_1	CA-L227-2014_161657_1_2_1324_1_ID_286_1_partial_10_start_type_Edge_rbs_motif_None_rbs_spacer_None_gc_cont_0_500_ma7_7_to_252	6.6e-16	246			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_12_29	cyc2_all_references_1	CA-L442_23839_13_15902_16237_-1_ID_43_13_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_631_ma8_8_to_70	0.00086	63			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_2_34	cyc2_all_references_1	CA-L442_135601_2_217_1596_-1_ID_305_2_partial_00_start_type_ATG_rbs_motif_AGGAG_rbs_spacer_5-10bp_gc_cont_0_609_ma9_6_to_457	3.7e-57	452	gi|917720179|ref|WP_052234513.1|	54.3	unclassified	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L442_2_34	cyc2_all_references_1	CA-L442_255164_3_1375_2856_1_ID_435_3_partial_00_start_type_ATG_rbs_motif_GGA_GAG_AGG_rbs_spacer_5-10bp_gc_cont_0_561_ma10_20_to_491	1.2e-43	472	gi|981146760|ref|WP_059422050.1|	64.9	Sulfuricella sp. T08	Sulfuricella	Sulfuricellaceae	Sulfuricellales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L442_70_39	cyc2_all_references_1	CA-L442_280491_15_11634_12908_1_ID_82_15_partial_00_start_type_ATG_rbs_motif_AGGA_rbs_spacer_5-10bp_gc_cont_0_500_ma11_1_to_424	1.2e-134	424	gi|502793429|ref|WP_013028405.1|	67.4	Sideroxydans lithotrophicus	Sideroxydans	Gallionellaceae	Gallionellales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L442_71_40	cyc2_all_references_1	CA-L442_100387_4_2325_3665_-1_ID_183_4_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_397_ma12_1_to_441	1.6e-46	441	gi|518704822|ref|WP_019865919.1|	57.1	Methylovulum miyakonense	Methylovulum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
CA_L442_74_42	cyc2_all_references_1	CA-L442_638_2_492_1802_1_ID_1_2_partial_00_start_type_ATG_rbs_motif_AAA_rbs_spacer_13bp_gc_cont_0_458_ma13_1_to_265	2e-13	265			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_75_43	cyc2_all_references_1	CA-L442_45510_11_8915_10306_-1_ID_50_11_partial_00_start_type_ATG_rbs_motif_AGGA_rbs_spacer_5-10bp_gc_cont_0_648_ma14_27_to_461	2.9e-42	435			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_84_45	cyc2_all_references_1	CA-L442_19452_22_19573_20982_-1_ID_23_22_partial_00_start_type_ATG_rbs_motif_AGGAG_rbs_spacer_5-10bp_gc_cont_0_546_ma15_13_to_468	6.8e-56	456			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_84_45	cyc2_all_references_1	CA-L442_373194_4_3965_5335_-1_ID_216_4_partial_00_start_type_ATG_rbs_motif_AGGA_rbs_spacer_5-10bp_gc_cont_0_541_ma16_24_to_453	6.7e-46	430			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_8m_001_48	cyc2_all_references_1	L227-2013-8m_12731_2_769_2205_-1_ID_559_2_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_454_ma17_26_to_478	4.7e-47	453	gi|493948684|ref|WP_006892594.1|	73.1	Methylobacter tundripaludum	Methylobacter	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L227_2013_8m_001_48	cyc2_all_references_1	L227-2013-8m_20649_1_2_403_-1_ID_709_1_partial_10_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_445_ma18_11_to_134	3.2e-17	124			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_bin22_51	cyc2_all_references_1	CA-L227-2013_160694_9_6925_8283_-1_ID_26_9_partial_00_start_type_ATG_rbs_motif_GGAG_GAGG_rbs_spacer_5-10bp_gc_cont_0_475_ma20_1_to_165	4.2e-13	165			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_bin22_51	cyc2_all_references_1	CA-L227-2013_160694_41_36065_37441_1_ID_26_41_partial_00_start_type_ATG_rbs_motif_GGAG_GAGG_rbs_spacer_5-10bp_gc_cont_0_481_ma19_18_to_452	8.3e-14	435			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_bin55_52	cyc2_all_references_1	CA-L227-2013_13799_3_1014_2348_1_ID_66_3_partial_00_start_type_ATG_rbs_motif_AAA_rbs_spacer_14bp_gc_cont_0_470_ma21_19_to_437	2.1e-18	419			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_bin56_53	cyc2_all_references_1	CA-L227-2013_20535_9_6420_7676_1_ID_10_9_partial_00_start_type_ATG_rbs_motif_TAA_rbs_spacer_11bp_gc_cont_0_453_ma22_1_to_418	2e-155	418			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_bin56_53	cyc2_all_references_1	CA-L227-2013_66165_4_2912_4261_1_ID_122_4_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_456_ma24_1_to_261	8.5e-17	261			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_bin56_53	cyc2_all_references_1	CA-L227-2013_13664_2_895_2142_-1_ID_135_2_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_458_ma26_7_to_206	3.3e-13	200			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_bin56_53	cyc2_all_references_1	CA-L227-2013_46468_12_9682_10929_-1_ID_107_12_partial_00_start_type_ATG_rbs_motif_TAA_rbs_spacer_9bp_gc_cont_0_465_ma25_1_to_322	1.1e-13	322			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_bin56_53	cyc2_all_references_1	CA-L227-2013_45008_25_24430_25833_1_ID_43_25_partial_00_start_type_ATG_rbs_motif_TAA_rbs_spacer_11bp_gc_cont_0_455_ma23_21_to_465	3.2e-21	445			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2014_6m_013_58	cyc2_all_references_1	L227-2014-6m_41_48_51261_52646_-1_ID_4_48_partial_00_start_type_ATG_rbs_motif_AGGA_rbs_spacer_5-10bp_gc_cont_0_404_ma27_9_to_456	4.2e-48	448	gi|518704822|ref|WP_019865919.1|	58.6	Methylovulum miyakonense	Methylovulum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L227_2014_6m_015_59	cyc2_all_references_1	L227-2014-6m_54207_1_1_285_-1_ID_62_1_partial_10_start_type_ATG_rbs_motif_ATAA_rbs_spacer_11bp_gc_cont_0_467_ma28_21_to_74	1.7e-14	54			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_enr_S_6D_bin01_66	cyc2_all_references_1	L227_S_6D_2_274_314191_315462_1_ID_2_274_partial_00_start_type_ATG_rbs_motif_AAA_rbs_spacer_13bp_gc_cont_0_474_ma30_7_to_308	9.4e-18	302			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_enr_S_6D_bin01_66	cyc2_all_references_1	L227_S_6D_2_283_322944_324215_1_ID_2_283_partial_00_start_type_ATG_rbs_motif_AAA_rbs_spacer_13bp_gc_cont_0_444_ma29_4_to_423	1.8e-151	420	gi|493411430|ref|WP_006367388.1|	55.4	Chlorobium ferrooxidans	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
L304_enr_S_6D_bin01_67	cyc2_all_references_1	L304_S_6D_0_450_464921_466162_1_ID_10_450_partial_00_start_type_ATG_rbs_motif_AAA_rbs_spacer_13bp_gc_cont_0_470_ma31_1_to_413	3.3e-159	413			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_enr_S_6D_bin01_67	cyc2_all_references_1	L304_S_6D_3_133_140560_141858_1_ID_3_133_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_477_ma32_7_to_323	1.2e-17	317			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_enr_S_6D_bin01_67	cyc2_all_references_1	L304_S_6D_2_227_244526_245857_-1_ID_14_227_partial_00_start_type_ATG_rbs_motif_AAA_rbs_spacer_13bp_gc_cont_0_529_ma33_7_to_360	2.6e-12	354			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L442_2011_16_5m_005_69	cyc2_all_references_1	L442-2011-16-5m_29816_1_3_1415_1_ID_401_1_partial_10_start_type_Edge_rbs_motif_None_rbs_spacer_None_gc_cont_0_442_ma34_17_to_470	2.5e-49	454	gi|493948684|ref|WP_006892594.1|	70.6	Methylobacter tundripaludum	Methylobacter	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L442_2011_16_5m_005_69	cyc2_all_references_1	L442-2011-16-5m_7632_4_2607_4070_1_ID_210_4_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_467_ma35_18_to_481	3.8e-27	464			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L442_2011_16_5m_007_71	cyc2_all_references_1	L442-2011-16-5m_1945_9_8697_10046_1_ID_63_9_partial_00_start_type_ATG_rbs_motif_AGGA_rbs_spacer_5-10bp_gc_cont_0_412_ma36_10_to_443	1.5e-45	434	gi|518704822|ref|WP_019865919.1|	59.1	Methylovulum miyakonense	Methylovulum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L442_2011_2014_bin64_76	cyc2_all_references_1	CA-L442_183135_5_4764_6134_-1_ID_69_5_partial_00_start_type_ATG_rbs_motif_AGGAG_rbs_spacer_5-10bp_gc_cont_0_476_ma37_1_to_300	1.8e-12	300			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L442_2011_2014_bin64_76	cyc2_all_references_1	CA-L442_369100_6_8054_9220_1_ID_60_6_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_483_ma38_87_to_378	0.00017	292			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_30_5	dsrA_2	CA-L227-2013_88136_2_2192_2368_1_ID_57_2_partial_00_start_type_ATG_rbs_motif_GGAGG_rbs_spacer_5-10bp_gc_cont_0_486_ma3_16_to_52	0.00039	37			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_30_5	dsrA_2	CA-L227-2013_259241_6_4362_5228_-1_ID_146_6_partial_00_start_type_ATG_rbs_motif_GGAG_GAGG_rbs_spacer_5-10bp_gc_cont_0_591_ma0_27_to_149	1.3e-06	123			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_30_5	dsrA_2	CA-L227-2013_113927_26_23102_23761_-1_ID_75_26_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_511_ma2_34_to_152	1.1e-07	119	gi|851204420|ref|WP_048105974.1|	66.2	Methanosarcina barkeri	Methanosarcina	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea
CA_L227_2013_30_5	dsrA_2	CA-L227-2013_259241_6_4362_5228_-1_ID_146_6_partial_00_start_type_ATG_rbs_motif_GGAG_GAGG_rbs_spacer_5-10bp_gc_cont_0_591_ma1_176_to_281	7.5e-10	106			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_43_7	dsrA_2	CA-L227-2013_38776_10_9502_10290_1_ID_29_10_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_518_ma4_131_to_185	0.00048	55			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_48_8	dsrA_2	CA-L227-2013_34910_2_1131_1952_-1_ID_76_2_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_371_ma6_53_to_96	0.00092	44			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_48_8	dsrA_2	CA-L227-2013_229115_2_639_1349_-1_ID_379_2_partial_00_start_type_ATG_rbs_motif_GGAGG_rbs_spacer_5-10bp_gc_cont_0_392_ma5_26_to_163	1.3e-10	138			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_49_9	dsrA_2	CA-L227-2013_48870_1_3_1577_1_ID_84_1_partial_10_start_type_Edge_rbs_motif_None_rbs_spacer_None_gc_cont_0_601_ma7_289_to_406	2.3e-08	118	gi|503487573|ref|WP_013722234.1|	57.3	Alicycliphilus denitrificans	Alicycliphilus	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L227_2014_106_17	dsrA_2	CA-L227-2014_106373_2_617_1507_-1_ID_235_2_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_543_ma11_175_to_289	1e-08	115	gi|501690468|ref|WP_012617801.1|	52.0	Methanosphaerula palustris	Methanosphaerula	Methanoregulaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea
