Dataset	HMM Family	ORF	HMM E-val	Aligned Length	Closest Homolog	%id of Closest Homolog	Closest Homolog Species	Closest Homolog Genus	Closest Homolog Family	Closest Homolog Order	Closest Homolog Class	Closest Homolog Phylum	Closest Homolog Superkingdom
CA_L227_2013_3_5	rpoB_3	CA_L227_2013_3__01392_DNA-directed_RNA_polymerase_subunit_beta_ma16_4_to_1086	0	1083	gi|494040793|ref|WP_006982917.1|	87.3	Chthoniobacter flavus	Chthoniobacter	Chthoniobacteraceae	Chthoniobacterales	Spartobacteria	Verrucomicrobia	Bacteria
CA_L227_2013_3_5	rpoB_3	CA_L227_2013_3__01000_DNA-directed_RNA_polymerase_subunit_beta_ma19_902_to_1246	1.3e-104	345	gi|757171833|ref|WP_042725921.1|	82.2	Chthoniobacter flavus	Chthoniobacter	Chthoniobacteraceae	Chthoniobacterales	Spartobacteria	Verrucomicrobia	Bacteria
CA_L227_2013_30_6	rpoB_3	CA_L227_2013_30__02222_DNA-directed_RNA_polymerase_subunit_beta_ma25_315_to_464	3.8e-27	150	gi|503484361|ref|WP_013719022.1|	94.8	Methanosaeta concilii	Methanosaeta	Methanosaetaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea
CA_L227_2013_30_6	rpoB_3	CA_L227_2013_30__02225_DNA-directed_RNA_polymerase_subunit_beta_ma26_50_to_88	3.6e-11	39	gi|504398853|ref|WP_014585955.1|	79.4	Methanosaeta harundinacea	Methanosaeta	Methanosaetaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea
CA_L227_2013_30_6	rpoB_3	CA_L227_2013_30__02224_DNA-directed_RNA_polymerase_subunit_beta_ma20_196_to_831	6.1e-71	636	gi|503484363|ref|WP_013719024.1|	94.4	Methanosaeta concilii	Methanosaeta	Methanosaetaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea
CA_L227_2013_30_6	rpoB_3	CA_L227_2013_30__02222_DNA-directed_RNA_polymerase_subunit_beta_ma24_16_to_283	3.4e-07	268	gi|503484361|ref|WP_013719022.1|	94.8	Methanosaeta concilii	Methanosaeta	Methanosaetaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea
CA_L227_2013_30_6	rpoB_3	CA_L227_2013_30__02223_DNA-directed_RNA_polymerase_subunit_beta_ma23_431_to_547	3.1e-30	117	gi|851254398|ref|WP_048132939.1|	93.2	Methanosaeta concilii	Methanosaeta	Methanosaetaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea
CA_L227_2013_30_6	rpoB_3	CA_L227_2013_30__02223_DNA-directed_RNA_polymerase_subunit_beta_ma22_364_to_425	5.1e-22	62	gi|851254398|ref|WP_048132939.1|	93.2	Methanosaeta concilii	Methanosaeta	Methanosaetaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea
CA_L227_2013_30_6	rpoB_3	CA_L227_2013_30__02223_DNA-directed_RNA_polymerase_subunit_beta_ma21_209_to_341	1.5e-12	133	gi|851254398|ref|WP_048132939.1|	93.2	Methanosaeta concilii	Methanosaeta	Methanosaetaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea
CA_L227_2013_31_7	rpoB_3	CA_L227_2013_31__02510_DNA-directed_RNA_polymerase_subunit_beta_ma30_1012_to_1363	1.3e-104	352	gi|757171833|ref|WP_042725921.1|	71.7	Chthoniobacter flavus	Chthoniobacter	Chthoniobacteraceae	Chthoniobacterales	Spartobacteria	Verrucomicrobia	Bacteria
CA_L227_2013_31_7	rpoB_3	CA_L227_2013_31__02510_DNA-directed_RNA_polymerase_subunit_beta_ma29_23_to_989	0	967	gi|757171833|ref|WP_042725921.1|	71.7	Chthoniobacter flavus	Chthoniobacter	Chthoniobacteraceae	Chthoniobacterales	Spartobacteria	Verrucomicrobia	Bacteria
CA_L227_2013_31_7	rpoB_3	CA_L227_2013_31__02509_DNA-directed_RNA_polymerase_subunit_beta_ma28_1107_to_1271	4e-101	165	gi|750254474|ref|WP_040547959.1|	88.6	Pedosphaera parvula	Pedosphaera	Verrucomicrobia subdivision 3	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
CA_L227_2013_31_7	rpoB_3	CA_L227_2013_31__02509_DNA-directed_RNA_polymerase_subunit_beta_ma27_5_to_1107	0	1103	gi|750254474|ref|WP_040547959.1|	88.6	Pedosphaera parvula	Pedosphaera	Verrucomicrobia subdivision 3	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
CA_L227_2013_43_8	rpoB_3	CA_L227_2013_43__01924_DNA-directed_RNA_polymerase_subunit_beta_ma31_4_to_978	0	975	gi|757171833|ref|WP_042725921.1|	64.4	Chthoniobacter flavus	Chthoniobacter	Chthoniobacteraceae	Chthoniobacterales	Spartobacteria	Verrucomicrobia	Bacteria
CA_L227_2013_43_8	rpoB_3	CA_L227_2013_43__01924_DNA-directed_RNA_polymerase_subunit_beta_ma32_1002_to_1349	1.3e-96	348	gi|757171833|ref|WP_042725921.1|	64.4	Chthoniobacter flavus	Chthoniobacter	Chthoniobacteraceae	Chthoniobacterales	Spartobacteria	Verrucomicrobia	Bacteria
CA_L227_2013_48_9	rpoB_3	CA_L227_2013_48__00262_DNA-directed_RNA_polymerase_subunit_beta_ma35_6_to_971	0	966	gi|757171833|ref|WP_042725921.1|	60.9	Chthoniobacter flavus	Chthoniobacter	Chthoniobacteraceae	Chthoniobacterales	Spartobacteria	Verrucomicrobia	Bacteria
CA_L227_2013_48_9	rpoB_3	CA_L227_2013_48__00263_DNA-directed_RNA_polymerase_subunit_beta_ma34_1085_to_1269	1.3e-93	185	gi|494490339|ref|WP_007279809.1|	58.0	Lentisphaera araneosa	Lentisphaera	Lentisphaeraceae	Lentisphaerales	Lentisphaeria	Lentisphaerae	Bacteria
CA_L227_2013_48_9	rpoB_3	CA_L227_2013_48__00262_DNA-directed_RNA_polymerase_subunit_beta_ma36_1003_to_1345	1.9e-94	343	gi|757171833|ref|WP_042725921.1|	60.9	Chthoniobacter flavus	Chthoniobacter	Chthoniobacteraceae	Chthoniobacterales	Spartobacteria	Verrucomicrobia	Bacteria
CA_L227_2013_48_9	rpoB_3	CA_L227_2013_48__00263_DNA-directed_RNA_polymerase_subunit_beta_ma33_6_to_1087	0	1082	gi|494490339|ref|WP_007279809.1|	58.0	Lentisphaera araneosa	Lentisphaera	Lentisphaeraceae	Lentisphaerales	Lentisphaeria	Lentisphaerae	Bacteria
CA_L227_2013_49_10	rpoB_3	CA_L227_2013_49__03372_DNA-directed_RNA_polymerase_subunit_beta_ma37_3_to_1393	0	1391	gi|655965036|ref|WP_029007687.1|	87.3	Azospirillum halopraeferens	Azospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
CA_L227_2013_51_11	rpoB_3	CA_L227_2013_51__00092_DNA-directed_RNA_polymerase_subunit_beta_ma39_1108_to_1269	4.9e-96	162	gi|503210572|ref|WP_013445233.1|	96.1	Paludibacter propionicigenes	Paludibacter	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
CA_L227_2013_51_11	rpoB_3	CA_L227_2013_51__02272_DNA-directed_RNA_polymerase_subunit_beta_ma40_16_to_224	2.7e-60	209	gi|503210573|ref|WP_013445234.1|	95.7	Paludibacter propionicigenes	Paludibacter	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
CA_L227_2013_51_11	rpoB_3	CA_L227_2013_51__02272_DNA-directed_RNA_polymerase_subunit_beta_ma41_228_to_352	4.1e-25	125	gi|503210573|ref|WP_013445234.1|	95.7	Paludibacter propionicigenes	Paludibacter	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
CA_L227_2013_51_11	rpoB_3	CA_L227_2013_51__00092_DNA-directed_RNA_polymerase_subunit_beta_ma38_5_to_1109	0	1105	gi|503210572|ref|WP_013445233.1|	96.1	Paludibacter propionicigenes	Paludibacter	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
CA_L227_2013_55_contigs_12	rpoB_3	CA_L227_2013_55_contigs__02355_DNA-directed_RNA_polymerase_subunit_beta_ma44_15_to_595	1.6e-210	581	gi|501501080|ref|WP_012509309.1|	95.2	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_55_contigs_12	rpoB_3	CA_L227_2013_55_contigs__02354_DNA-directed_RNA_polymerase_subunit_beta_ma42_12_to_1140	0	1129	gi|753754217|ref|WP_041526912.1|	94.9	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_55_contigs_12	rpoB_3	CA_L227_2013_55_contigs__02355_DNA-directed_RNA_polymerase_subunit_beta_ma45_622_to_1025	1.6e-121	404	gi|501501080|ref|WP_012509309.1|	95.2	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_55_contigs_12	rpoB_3	CA_L227_2013_55_contigs__02355_DNA-directed_RNA_polymerase_subunit_beta_ma47_1352_to_1472	4e-27	121	gi|501501080|ref|WP_012509309.1|	95.2	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_55_contigs_12	rpoB_3	CA_L227_2013_55_contigs__02354_DNA-directed_RNA_polymerase_subunit_beta_ma43_1137_to_1300	3.2e-103	164	gi|753754217|ref|WP_041526912.1|	94.9	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_55_contigs_12	rpoB_3	CA_L227_2013_55_contigs__02355_DNA-directed_RNA_polymerase_subunit_beta_ma46_1079_to_1351	1.6e-59	273	gi|501501080|ref|WP_012509309.1|	95.2	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_56_1_contigs_13	rpoB_3	CA_L227_2013_56_1_contigs__01648_DNA-directed_RNA_polymerase_subunit_beta_ma52_618_to_1025	5.9e-122	408	gi|501501080|ref|WP_012509309.1|	94.6	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_56_1_contigs_13	rpoB_3	CA_L227_2013_56_1_contigs__01648_DNA-directed_RNA_polymerase_subunit_beta_ma50_15_to_242	2.4e-61	228	gi|501501080|ref|WP_012509309.1|	94.6	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_56_1_contigs_13	rpoB_3	CA_L227_2013_56_1_contigs__01648_DNA-directed_RNA_polymerase_subunit_beta_ma53_1081_to_1351	3.5e-61	271	gi|501501080|ref|WP_012509309.1|	94.6	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_56_1_contigs_13	rpoB_3	CA_L227_2013_56_1_contigs__01647_DNA-directed_RNA_polymerase_subunit_beta_ma48_11_to_1138	0	1128	gi|753754217|ref|WP_041526912.1|	94.5	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_56_1_contigs_13	rpoB_3	CA_L227_2013_56_1_contigs__01648_DNA-directed_RNA_polymerase_subunit_beta_ma54_1380_to_1482	4.5e-28	103	gi|501501080|ref|WP_012509309.1|	94.6	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_56_1_contigs_13	rpoB_3	CA_L227_2013_56_1_contigs__01647_DNA-directed_RNA_polymerase_subunit_beta_ma49_1134_to_1298	2.4e-102	165	gi|753754217|ref|WP_041526912.1|	94.5	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_56_1_contigs_13	rpoB_3	CA_L227_2013_56_1_contigs__01648_DNA-directed_RNA_polymerase_subunit_beta_ma51_263_to_598	1.2e-150	336	gi|501501080|ref|WP_012509309.1|	94.6	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_6_14	rpoB_3	CA_L227_2013_6__01318_DNA-directed_RNA_polymerase_subunit_beta_ma56_616_to_884	9e-70	269	gi|652356110|ref|WP_026752254.1|	89.9	Sediminibacterium sp. C3	Sediminibacterium	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
CA_L227_2013_6_14	rpoB_3	CA_L227_2013_6__01318_DNA-directed_RNA_polymerase_subunit_beta_ma55_1_to_589	9.9e-200	589	gi|652356110|ref|WP_026752254.1|	89.9	Sediminibacterium sp. C3	Sediminibacterium	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
CA_L227_2013_6_14	rpoB_3	CA_L227_2013_6__01318_DNA-directed_RNA_polymerase_subunit_beta_ma57_887_to_1004	1.1e-24	118	gi|652356110|ref|WP_026752254.1|	89.9	Sediminibacterium sp. C3	Sediminibacterium	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
CA_L227_2013_64_15	rpoB_3	CA_L227_2013_64__00733_DNA-directed_RNA_polymerase_subunit_beta_ma62_2_to_967	2.4e-289	966			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_64_15	rpoB_3	CA_L227_2013_64__00733_DNA-directed_RNA_polymerase_subunit_beta_ma63_969_to_1219	3.8e-54	251			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_64_15	rpoB_3	CA_L227_2013_64__00732_DNA-directed_RNA_polymerase_subunit_beta_ma58_13_to_211	5.8e-61	199			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_64_15	rpoB_3	CA_L227_2013_64__00732_DNA-directed_RNA_polymerase_subunit_beta_ma61_889_to_1053	7.1e-88	165			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_64_15	rpoB_3	CA_L227_2013_64__00732_DNA-directed_RNA_polymerase_subunit_beta_ma60_799_to_889	1.5e-49	91			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_64_15	rpoB_3	CA_L227_2013_64__00732_DNA-directed_RNA_polymerase_subunit_beta_ma59_210_to_799	2e-268	590			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_65_16	rpoB_3	CA_L227_2013_65__01074_DNA-directed_RNA_polymerase_subunit_beta_ma66_983_to_1376	2.1e-103	394	gi|658513365|ref|WP_029708871.1|	95.5	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L227_2013_65_16	rpoB_3	CA_L227_2013_65__01075_DNA-directed_RNA_polymerase_subunit_beta_ma64_3_to_1368	0	1366	gi|658513366|ref|WP_029708872.1|	93.6	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L227_2013_65_16	rpoB_3	CA_L227_2013_65__01074_DNA-directed_RNA_polymerase_subunit_beta_ma65_14_to_994	0	981	gi|658513365|ref|WP_029708871.1|	95.5	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L227_2013_67_17	rpoB_3	CA_L227_2013_67__00741_DNA-directed_RNA_polymerase_subunit_beta_ma68_1107_to_1271	3.4e-100	165	gi|750254474|ref|WP_040547959.1|	89.0	Pedosphaera parvula	Pedosphaera	Verrucomicrobia subdivision 3	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
CA_L227_2013_67_17	rpoB_3	CA_L227_2013_67__00741_DNA-directed_RNA_polymerase_subunit_beta_ma67_5_to_1109	0	1105	gi|750254474|ref|WP_040547959.1|	89.0	Pedosphaera parvula	Pedosphaera	Verrucomicrobia subdivision 3	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
CA_L227_2013_67_17	rpoB_3	CA_L227_2013_67__00740_DNA-directed_RNA_polymerase_subunit_beta_ma69_23_to_990	0	968	gi|757171833|ref|WP_042725921.1|	71.6	Chthoniobacter flavus	Chthoniobacter	Chthoniobacteraceae	Chthoniobacterales	Spartobacteria	Verrucomicrobia	Bacteria
CA_L227_2013_67_17	rpoB_3	CA_L227_2013_67__00740_DNA-directed_RNA_polymerase_subunit_beta_ma70_1005_to_1360	1.5e-104	356	gi|757171833|ref|WP_042725921.1|	71.6	Chthoniobacter flavus	Chthoniobacter	Chthoniobacteraceae	Chthoniobacterales	Spartobacteria	Verrucomicrobia	Bacteria
CA_L227_2013_78_18	rpoB_3	CA_L227_2013_78__02904_DNA-directed_RNA_polymerase_subunit_beta_ma72_1106_to_1266	1.1e-93	161	gi|1011118163|ref|WP_062040024.1|	84.6	Lentimicrobium saccharophilum	Lentimicrobium	Lentimicrobiaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
CA_L227_2013_78_18	rpoB_3	CA_L227_2013_78__02904_DNA-directed_RNA_polymerase_subunit_beta_ma71_3_to_1110	0	1108	gi|1011118163|ref|WP_062040024.1|	84.6	Lentimicrobium saccharophilum	Lentimicrobium	Lentimicrobiaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
CA_L227_2013_78_18	rpoB_3	CA_L227_2013_78__02905_DNA-directed_RNA_polymerase_subunit_beta_ma75_1298_to_1417	3.5e-25	120	gi|1011120996|ref|WP_062042857.1|	83.5	Lentimicrobium saccharophilum	Lentimicrobium	Lentimicrobiaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
CA_L227_2013_78_18	rpoB_3	CA_L227_2013_78__02905_DNA-directed_RNA_polymerase_subunit_beta_ma73_8_to_1000	0	993	gi|1011120996|ref|WP_062042857.1|	83.5	Lentimicrobium saccharophilum	Lentimicrobium	Lentimicrobiaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
CA_L227_2013_78_18	rpoB_3	CA_L227_2013_78__02905_DNA-directed_RNA_polymerase_subunit_beta_ma74_1023_to_1293	1.7e-70	271	gi|1011120996|ref|WP_062042857.1|	83.5	Lentimicrobium saccharophilum	Lentimicrobium	Lentimicrobiaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
CA_L227_2013_83_19	rpoB_3	CA_L227_2013_83__03638_DNA-directed_RNA_polymerase_subunit_beta_ma80_1299_to_1417	5.2e-25	119	gi|1011120996|ref|WP_062042857.1|	82.8	Lentimicrobium saccharophilum	Lentimicrobium	Lentimicrobiaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
CA_L227_2013_83_19	rpoB_3	CA_L227_2013_83__03638_DNA-directed_RNA_polymerase_subunit_beta_ma78_12_to_1000	0	989	gi|1011120996|ref|WP_062042857.1|	82.8	Lentimicrobium saccharophilum	Lentimicrobium	Lentimicrobiaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
CA_L227_2013_83_19	rpoB_3	CA_L227_2013_83__03639_DNA-directed_RNA_polymerase_subunit_beta_ma76_3_to_1110	0	1108	gi|1011118163|ref|WP_062040024.1|	83.7	Lentimicrobium saccharophilum	Lentimicrobium	Lentimicrobiaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
CA_L227_2013_83_19	rpoB_3	CA_L227_2013_83__03639_DNA-directed_RNA_polymerase_subunit_beta_ma77_1107_to_1266	2.5e-93	160	gi|1011118163|ref|WP_062040024.1|	83.7	Lentimicrobium saccharophilum	Lentimicrobium	Lentimicrobiaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
CA_L227_2013_83_19	rpoB_3	CA_L227_2013_83__03638_DNA-directed_RNA_polymerase_subunit_beta_ma79_1026_to_1294	1.3e-68	269	gi|1011120996|ref|WP_062042857.1|	82.8	Lentimicrobium saccharophilum	Lentimicrobium	Lentimicrobiaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
CA_L227_2014_106_20	rpoB_3	CA_L227_2014_106__04118_DNA-directed_RNA_polymerase_subunit_beta_ma89_1352_to_1472	3.2e-26	121	gi|501501080|ref|WP_012509309.1|	96.7	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2014_106_20	rpoB_3	CA_L227_2014_106__04118_DNA-directed_RNA_polymerase_subunit_beta_ma86_263_to_594	7.1e-151	332	gi|501501080|ref|WP_012509309.1|	96.7	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2014_106_20	rpoB_3	CA_L227_2014_106__00368_DNA-directed_RNA_polymerase_subunit_beta_ma81_15_to_1143	0	1129	gi|753754217|ref|WP_041526912.1|	96.9	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
