genome	metagenome	mapped_reads	coverage_mean	coverage_sd	genome_length_bp	genome_num_contigs	metagenome_total_reads
L227-2014-6m.005	L227-2013-6m	84704	9.27851686556235	9.62298604178512	1499446	125	53941731
L227-2014-6m.005	L442-2014-15m	38710	4.59129505163907	4.71601325777558	1499446	125	54406863
L227-2014-6m.005	L227-2013-8m	28566	3.23840405056267	6.21075416917078	1499446	125	53941011
L227-2014-6m.005	L227-2014-8m	41964	4.56452916610535	5.9212545283116	1499446	125	51774711
L227-2014-6m.005	L227-2014-6m	222489	25.6580797174423	16.3912937032857	1499446	125	77902434
L227-2014-6m.005	L442-2011-16-5m	52242	6.22878649848011	6.03060790047472	1499446	125	61146180
CA-L442.92	L227-2013-6m	1072	0.055210993799905	1.13405728676517	2975277	529	53941731
CA-L442.92	L442-2014-15m	159404	9.46049292217162	4.81609359666481	2975277	529	54406863
CA-L442.92	L227-2013-8m	410	0.022872156105129	0.514669321520397	2975277	529	53941011
CA-L442.92	L227-2014-8m	540	0.028708587469335	0.581380142492198	2975277	529	51774711
CA-L442.92	L227-2014-6m	928	0.049992320042806	0.880072442154543	2975277	529	77902434
CA-L442.92	L442-2011-16-5m	13382	0.815779169468927	1.18368664680585	2975277	529	61146180
L227-2013-6m.007	L227-2013-6m	912415	42.8949720733796	14.8568960503623	3524415	381	53941731
L227-2013-6m.007	L442-2014-15m	5406	0.25064641933484	1.73338026378736	3524415	381	54406863
L227-2013-6m.007	L227-2013-8m	515200	25.1975068202808	13.6420153622087	3524415	381	53941011
L227-2013-6m.007	L227-2014-8m	43618	2.00303965338929	4.61675562892476	3524415	381	51774711
L227-2013-6m.007	L227-2014-6m	94166	4.42922669435921	18.6908106783079	3524415	381	77902434
L227-2013-6m.007	L442-2011-16-5m	1506	0.075359740552688	0.866197887952587	3524415	381	61146180
CA-L227-2013.51	L227-2013-6m	112096	4.52393123046975	3.05077497633074	4077329	399	53941731
CA-L227-2013.51	L442-2014-15m	806	0.03567605165048	0.262592514883649	4077329	399	54406863
CA-L227-2013.51	L227-2013-8m	196672	8.45905787833162	4.26520160413836	4077329	399	53941011
CA-L227-2013.51	L227-2014-8m	78758	3.2024200156524	2.51789550999446	4077329	399	51774711
CA-L227-2013.51	L227-2014-6m	156590	6.72972943807085	3.79174493337954	4077329	399	77902434
CA-L227-2013.51	L442-2011-16-5m	7330	0.328528308605953	0.817861227661362	4077329	399	61146180
L227_enr_S_6D_bin01	L227-2013-6m	1422	0.085062279684142	0.747613079676685	2498969	13	53941731
L227_enr_S_6D_bin01	L442-2014-15m	1342	0.078930550959216	1.48062753636832	2498969	13	54406863
L227_enr_S_6D_bin01	L227-2013-8m	2494	0.173247447247245	0.677997829211572	2498969	13	53941011
L227_enr_S_6D_bin01	L227-2014-8m	1226	0.074916895727798	0.513796016830155	2498969	13	51774711
L227_enr_S_6D_bin01	L227-2014-6m	6643	0.420530626830505	1.76873342652716	2498969	13	77902434
L227_enr_S_6D_bin01	L442-2011-16-5m	632	0.040962092767057	0.447633235954822	2498969	13	61146180
CA-L227-2014.4	L227-2013-6m	36230	2.57500478581631	2.21619026269862	2308906	209	53941731
CA-L227-2014.4	L442-2014-15m	66	0.004725181536191	0.106317391113647	2308906	209	54406863
CA-L227-2014.4	L227-2013-8m	45558	3.36408974639938	2.48484134404745	2308906	209	53941011
CA-L227-2014.4	L227-2014-8m	162402	11.4989033767507	4.89719013566178	2308906	209	51774711
CA-L227-2014.4	L227-2014-6m	244792	17.798557845144	6.35352457672022	2308906	209	77902434
CA-L227-2014.4	L442-2011-16-5m	48	0.003366529429955	0.092141733063317	2308906	209	61146180
L442-2011-16-5m.015	L227-2013-6m	322	0.030000047492047	0.364802109456802	1473931	338	53941731
L442-2011-16-5m.015	L442-2014-15m	4716	0.509343381745821	1.24129859759611	1473931	338	54406863
L442-2011-16-5m.015	L227-2013-8m	322	0.035125796255049	0.65824422214869	1473931	338	53941011
L442-2011-16-5m.015	L227-2014-8m	328	0.034454801479852	0.632485700619196	1473931	338	51774711
L442-2011-16-5m.015	L227-2014-6m	464	0.044996678949015	0.502598007880001	1473931	338	77902434
L442-2011-16-5m.015	L442-2011-16-5m	19264	2.16204693435446	3.57312270474723	1473931	338	61146180
CA-L442.14	L227-2013-6m	842	0.043426460877141	0.844276974974521	3186168	453	53941731
CA-L442.14	L442-2014-15m	122712	6.67067838230752	4.26514992637603	3186168	453	54406863
CA-L442.14	L227-2013-8m	248	0.0129308937884	0.253800052015396	3186168	453	53941011
CA-L442.14	L227-2014-8m	324	0.015262534806702	0.306425802728999	3186168	453	51774711
CA-L442.14	L227-2014-6m	984	0.050475367275046	0.882017013344708	3186168	453	77902434
CA-L442.14	L442-2011-16-5m	66522	3.78972232474873	2.75804363933809	3186168	453	61146180
CA-L227-2014.108	L227-2013-6m	37064	4.29013794972702	3.01492952131444	1420445	175	53941731
CA-L227-2014.108	L442-2014-15m	2702	0.348024034721513	0.817108101744956	1420445	175	54406863
CA-L227-2014.108	L227-2013-8m	30494	3.79750571123838	2.7374205321973	1420445	175	53941011
CA-L227-2014.108	L227-2014-8m	34898	4.0198184371799	2.88438403085068	1420445	175	51774711
CA-L227-2014.108	L227-2014-6m	71102	8.50929180644094	4.36863233948235	1420445	175	77902434
CA-L227-2014.108	L442-2011-16-5m	2936	0.385823456733629	0.803579675295185	1420445	175	61146180
L227-2014-6m.013	L227-2013-6m	985578	62.290082285804	42.5203242896219	2598018	129	53941731
L227-2014-6m.013	L442-2014-15m	1384	0.087539039375401	0.765400570886332	2598018	129	54406863
L227-2014-6m.013	L227-2013-8m	80983	5.33422478212237	4.89859052380465	2598018	129	53941011
L227-2014-6m.013	L227-2014-8m	107392	6.76114792122302	6.06552324961416	2598018	129	51774711
L227-2014-6m.013	L227-2014-6m	560128	35.476167986519	25.2191764072636	2598018	129	77902434
L227-2014-6m.013	L442-2011-16-5m	5880	0.374837279803296	2.85789089425431	2598018	129	61146180
CA-L227-2014.61	L227-2013-6m	1836	0.065734245764863	0.350286718292148	4482382	138	53941731
CA-L227-2014.61	L442-2014-15m	78	0.002925676571073	0.07261855544012	4482382	138	54406863
CA-L227-2014.61	L227-2013-8m	37846	1.46346473816823	1.61539738743354	4482382	138	53941011
CA-L227-2014.61	L227-2014-8m	138280	4.90396423151797	3.08817869003079	4482382	138	51774711
CA-L227-2014.61	L227-2014-6m	594932	22.1592880749566	7.28216322771574	4482382	138	77902434
CA-L227-2014.61	L442-2011-16-5m	28	0.000969796862472	0.043167932485765	4482382	138	61146180
L227_2013_bin22	L227-2013-6m	734561	46.6052907541807	11.9905615753634	2553738	57	53941731
L227_2013_bin22	L442-2014-15m	330	0.021322469258789	0.196704570287894	2553738	57	54406863
L227_2013_bin22	L227-2013-8m	51660	3.3007418928645	2.53026498187997	2553738	57	53941011
L227_2013_bin22	L227-2014-8m	201018	12.2077159050772	5.31823267393946	2553738	57	51774711
L227_2013_bin22	L227-2014-6m	1223238	76.8167987475614	20.5407577272638	2553738	57	77902434
L227_2013_bin22	L442-2011-16-5m	66	0.003693409425712	0.084474144958222	2553738	57	61146180
CA-L442.84	L227-2013-6m	101574	4.68510132547233	3.54648969076876	3545604	224	53941731
CA-L442.84	L442-2014-15m	153252	7.47767432572842	4.15238734075073	3545604	224	54406863
CA-L442.84	L227-2013-8m	45786	2.21312052897052	2.18729408762692	3545604	224	53941011
CA-L442.84	L227-2014-8m	2222	0.099303813962304	0.436940510220605	3545604	224	51774711
CA-L442.84	L227-2014-6m	5622	0.262819536530306	0.719770800259634	3545604	224	77902434
CA-L442.84	L442-2011-16-5m	124748	6.28049917588089	3.76527271609192	3545604	224	61146180
L227-2014-6m.011	L227-2013-6m	69670	2.95471314946874	3.32828682057473	3795583	1072	53941731
L227-2014-6m.011	L442-2014-15m	2046	0.089170754532308	1.48231986220206	3795583	1072	54406863
L227-2014-6m.011	L227-2013-8m	11986	0.511712429948179	1.71467585463429	3795583	1072	53941011
L227-2014-6m.011	L227-2014-8m	81727	3.27495802357635	6.44832983943346	3795583	1072	51774711
L227-2014-6m.011	L227-2014-6m	634793	27.0051949858559	15.555638391073	3795583	1072	77902434
L227-2014-6m.011	L442-2011-16-5m	1770	0.082235851514774	1.69872702978763	3795583	1072	61146180
L442-2014-15m.004	L227-2013-6m	58980	3.28145449742458	13.1286397355764	2740713	511	53941731
L442-2014-15m.004	L442-2014-15m	401178	23.850301728054	15.027278755127	2740713	511	54406863
L442-2014-15m.004	L227-2013-8m	25912	1.50614201486985	5.08369477267004	2740713	511	53941011
L442-2014-15m.004	L227-2014-8m	27296	1.44638201810989	5.60918483556494	2740713	511	51774711
L442-2014-15m.004	L227-2014-6m	94680	5.26723411024795	18.3201149311067	2740713	511	77902434
L442-2014-15m.004	L442-2011-16-5m	171808	10.821736898391	8.25317767854193	2740713	511	61146180
CA-L442.71	L227-2013-6m	1816	0.131961926068898	2.56639298685516	2149082	509	53941731
CA-L442.71	L442-2014-15m	9244	0.786894125026407	1.44077515243535	2149082	509	54406863
CA-L442.71	L227-2013-8m	166	0.012390406694579	0.264651095627816	2149082	509	53941011
CA-L442.71	L227-2014-8m	196	0.014344264202111	0.326440094499904	2149082	509	51774711
CA-L442.71	L227-2014-6m	1016	0.074835674022676	1.51114232344957	2149082	509	77902434
CA-L442.71	L442-2011-16-5m	154168	13.169074516468	7.4407514988219	2149082	509	61146180
CA-L227-2014.13	L227-2013-6m	374976	17.6056308177705	8.86113375188038	3501019	559	53941731
CA-L227-2014.13	L442-2014-15m	706	0.033732179116994	0.400457623205283	3501019	559	54406863
CA-L227-2014.13	L227-2013-8m	92946	4.58275205018882	3.37807888316953	3501019	559	53941011
CA-L227-2014.13	L227-2014-8m	103450	4.8299417969454	3.47541957599649	3501019	559	51774711
CA-L227-2014.13	L227-2014-6m	222714	10.6702879932957	5.92548324352961	3501019	559	77902434
CA-L227-2014.13	L442-2011-16-5m	636	0.031956981667337	0.397030448059891	3501019	559	61146180
L442-2014-15m.013	L227-2013-6m	436	0.020445719868116	0.36938115370342	3275600	990	53941731
L442-2014-15m.013	L442-2014-15m	176461	9.65215868848455	10.8017279182846	3275600	990	54406863
L442-2014-15m.013	L227-2013-8m	160	0.007375442666992	0.164837686506839	3275600	990	53941011
L442-2014-15m.013	L227-2014-8m	390	0.017318964464526	0.259256266907009	3275600	990	51774711
L442-2014-15m.013	L227-2014-6m	1150	0.054615642935645	0.640129964389517	3275600	990	77902434
L442-2014-15m.013	L442-2011-16-5m	10996	0.597137318353889	2.21055866666279	3275600	990	61146180
L227-2014-6m.006	L227-2013-6m	500619	23.544171722995	11.4670487258864	3649552	747	53941731
L227-2014-6m.006	L442-2014-15m	13348	0.635210294304616	1.92939105722377	3649552	747	54406863
L227-2014-6m.006	L227-2013-8m	17383	0.830516731916685	4.19246558793684	3649552	747	53941011
L227-2014-6m.006	L227-2014-8m	44777	2.05582548214137	8.39934780162872	3649552	747	51774711
L227-2014-6m.006	L227-2014-6m	739730	34.5418604804097	14.5749621653789	3649552	747	77902434
L227-2014-6m.006	L442-2011-16-5m	13712	0.644678579727046	1.57479404899331	3649552	747	61146180
CA-L227-2013.23	L227-2013-6m	100830	6.85277850810084	3.9343589989148	2320130	181	53941731
CA-L227-2013.23	L442-2014-15m	5676	0.413720351876834	0.893341289589847	2320130	181	54406863
CA-L227-2013.23	L227-2013-8m	138584	10.0822501325357	4.92103994384788	2320130	181	53941011
CA-L227-2013.23	L227-2014-8m	8420	0.564835591109119	1.04154923032809	2320130	181	51774711
CA-L227-2013.23	L227-2014-6m	16020	1.10230547426222	1.46780046643356	2320130	181	77902434
CA-L227-2013.23	L442-2011-16-5m	5582	0.432255089154487	0.863433000244402	2320130	181	61146180
L442-2014-15m.012	L227-2013-6m	1298	0.058268535769151	0.962880075009189	3237133	1057	53941731
L442-2014-15m.012	L442-2014-15m	130920	6.80404388698271	6.68556294820842	3237133	1057	54406863
L442-2014-15m.012	L227-2013-8m	656	0.028766504187502	0.488883745979562	3237133	1057	53941011
L442-2014-15m.012	L227-2014-8m	1116	0.047894541249927	0.751114692504781	3237133	1057	51774711
L442-2014-15m.012	L227-2014-6m	1648	0.078331968442446	1.12823293894702	3237133	1057	77902434
L442-2014-15m.012	L442-2011-16-5m	20976	1.1388225321604	2.31553525025515	3237133	1057	61146180
CA-L442.70	L227-2013-6m	58	0.003559730543387	0.088831792469134	2581937	130	53941731
CA-L442.70	L442-2014-15m	6398	0.415254516279832	0.877882245516028	2581937	130	54406863
CA-L442.70	L227-2013-8m	56	0.003618601073535	0.087272286106125	2581937	130	53941011
CA-L442.70	L227-2014-8m	40	0.002214616390718	0.065836729222716	2581937	130	51774711
CA-L442.70	L227-2014-6m	50	0.00288852903847	0.074171931249661	2581937	130	77902434
CA-L442.70	L442-2011-16-5m	219156	15.2064771526184	5.5808635181736	2581937	130	61146180
CA-L442.2	L227-2013-6m	3854	0.208751229898763	9.64943990564831	2973822	474	53941731
CA-L442.2	L442-2014-15m	478912	27.2438246135781	10.9817660089001	2973822	474	54406863
CA-L442.2	L227-2013-8m	1064	0.060054367746287	2.45532257103704	2973822	474	53941011
CA-L442.2	L227-2014-8m	954	0.051291570241931	2.25245114615857	2973822	474	51774711
CA-L442.2	L227-2014-6m	2714	0.150982136792316	6.75986487963677	2973822	474	77902434
CA-L442.2	L442-2011-16-5m	466132	28.1437611262544	10.913235825274	2973822	474	61146180
CA-L442.63	L227-2013-6m	7082	0.305732154800671	2.39142350599665	3733343	731	53941731
CA-L442.63	L442-2014-15m	190360	8.84342317327928	4.98024451516625	3733343	731	54406863
CA-L442.63	L227-2013-8m	2396	0.108973378551073	0.830735394064576	3733343	731	53941011
CA-L442.63	L227-2014-8m	1774	0.076064535190043	0.633653753005271	3733343	731	51774711
CA-L442.63	L227-2014-6m	5720	0.25328532631478	1.83010985581179	3733343	731	77902434
CA-L442.63	L442-2011-16-5m	169860	8.17713721991256	4.60938270215358	3733343	731	61146180
CA-L227-2013.31	L227-2013-6m	333915	6.93431735818747	3.93721400916889	7668099	986	53941731
CA-L227-2013.31	L442-2014-15m	31062	0.644099795790326	1.509325356702	7668099	986	54406863
CA-L227-2013.31	L227-2013-8m	448442	9.74385046411112	4.71994073086717	7668099	986	53941011
CA-L227-2013.31	L227-2014-8m	212732	4.43228315127387	3.11341528629627	7668099	986	51774711
CA-L227-2013.31	L227-2014-6m	294584	6.19457521349164	3.72739859053354	7668099	986	77902434
CA-L227-2013.31	L442-2011-16-5m	1204	0.026737265650848	0.223358595761048	7668099	986	61146180
L442-2011-16-5m.005	L227-2013-6m	96796	5.08901016425204	7.45103394393583	2960572	484	53941731
L442-2011-16-5m.005	L442-2014-15m	25740	1.54388003399343	9.59575764378258	2960572	484	54406863
L442-2011-16-5m.005	L227-2013-8m	73464	4.0710055354168	4.50464961638882	2960572	484	53941011
L442-2011-16-5m.005	L227-2014-8m	107442	5.48467221874692	5.59430626555206	2960572	484	51774711
L442-2011-16-5m.005	L227-2014-6m	27908	1.43727799898128	9.3740583040219	2960572	484	77902434
L442-2011-16-5m.005	L442-2011-16-5m	605852	36.9499799363096	18.1756837453635	2960572	484	61146180
L227_2013_bin56	L227-2013-6m	706378	55.0439419631921	17.6771736772396	2089984	140	53941731
L227_2013_bin56	L442-2014-15m	102	0.008113459241793	0.119451823365539	2089984	140	54406863
L227_2013_bin56	L227-2013-8m	65424	5.46043797464478	3.4177371168133	2089984	140	53941011
L227_2013_bin56	L227-2014-8m	49174	3.67190849307937	2.81078510664364	2089984	140	51774711
L227_2013_bin56	L227-2014-6m	260146	20.2776667189797	8.9309871208234	2089984	140	77902434
L227_2013_bin56	L442-2011-16-5m	28	0.002135423046301	0.06130765425814	2089984	140	61146180
CA-L227-2014.49	L227-2013-6m	74998	3.35988000613881	2.61263424180132	3622852	287	53941731
CA-L227-2014.49	L442-2014-15m	87544	3.92055706388227	2.90378624851795	3622852	287	54406863
CA-L227-2014.49	L227-2013-8m	121212	5.72613482416615	3.49234147462388	3622852	287	53941011
CA-L227-2014.49	L227-2014-8m	202732	9.02140606351018	4.59976434537031	3622852	287	51774711
CA-L227-2014.49	L227-2014-6m	229746	10.2364355485678	4.99893387964201	3622852	287	77902434
CA-L227-2014.49	L442-2011-16-5m	12520	0.610413011627304	1.03387797121362	3622852	287	61146180
CA-L442.74	L227-2013-6m	3064	0.221396216396772	1.26272768763538	2188443	282	53941731
CA-L442.74	L442-2014-15m	147338	12.1644539062703	8.39970732768166	2188443	282	54406863
CA-L442.74	L227-2013-8m	1668	0.129233432170726	1.00447768849265	2188443	282	53941011
CA-L442.74	L227-2014-8m	2932	0.206509833703688	1.12837857637226	2188443	282	51774711
CA-L442.74	L227-2014-6m	13212	0.954822218353414	2.08971169061202	2188443	282	77902434
CA-L442.74	L442-2011-16-5m	123596	10.3938909992173	4.85237534304991	2188443	282	61146180
CA-L442.75	L227-2013-6m	53164	2.31575092711351	2.35309547765974	3804011	188	53941731
CA-L442.75	L442-2014-15m	230004	10.4455410355017	4.81505659274558	3804011	188	54406863
CA-L442.75	L227-2013-8m	15996	0.71428316059023	1.17188017991499	3804011	188	53941011
CA-L442.75	L227-2014-8m	14178	0.588561652424244	1.07130307044344	3804011	188	51774711
CA-L442.75	L227-2014-6m	40810	1.75898124374509	1.96073968320567	3804011	188	77902434
CA-L442.75	L442-2011-16-5m	165560	7.73850469938178	4.02100693876108	3804011	188	61146180
CA-L442.82	L227-2013-6m	54	0.00182766189918	0.070032586363654	4569773	837	53941731
CA-L442.82	L442-2014-15m	359838	13.2446961807512	5.78256084057934	4569773	837	54406863
CA-L442.82	L227-2013-8m	296	0.009919967578258	0.332642604118318	4569773	837	53941011
CA-L442.82	L227-2014-8m	208	0.006997502939424	0.240665764493638	4569773	837	51774711
CA-L442.82	L227-2014-6m	560	0.01783611571078	0.449185802397406	4569773	837	77902434
CA-L442.82	L442-2011-16-5m	21056	0.847572078525563	1.18659366468951	4569773	837	61146180
L227-2014-6m.015	L227-2013-6m	61490	9.90934306308105	8.01217626322513	1061761	63	53941731
L227-2014-6m.015	L442-2014-15m	32	0.004807108191015	0.101810133989044	1061761	63	54406863
L227-2014-6m.015	L227-2013-8m	34282	5.74082773806911	8.31025542987704	1061761	63	53941011
L227-2014-6m.015	L227-2014-8m	44616	7.18775129242833	11.8866177324462	1061761	63	51774711
L227-2014-6m.015	L227-2014-6m	136027	22.8487569236391	9.30016418029011	1061761	63	77902434
L227-2014-6m.015	L442-2011-16-5m	94	0.016447204220159	0.253248526595485	1061761	63	61146180
CA-L227-2013.30	L227-2013-6m	12532	0.751810981198648	1.19155305090536	2739537	153	53941731
CA-L227-2013.30	L442-2014-15m	128	0.007392855070036	0.11662151517136	2739537	153	54406863
CA-L227-2013.30	L227-2013-8m	228816	14.7221344336652	5.8724947425732	2739537	153	53941011
CA-L227-2013.30	L227-2014-8m	406225	24.3895625428676	8.76067993577109	2739537	153	51774711
CA-L227-2013.30	L227-2014-6m	36602	2.2008109399508	2.06068422988045	2739537	153	77902434
CA-L227-2013.30	L442-2011-16-5m	50	0.003012187825899	0.072008589755324	2739537	153	61146180
CA-L227-2013.78	L227-2013-6m	155764	6.45089171110179	3.58626705884488	4016155	176	53941731
CA-L227-2013.78	L442-2014-15m	780	0.034129658840359	0.328593078585319	4016155	176	54406863
CA-L227-2013.78	L227-2013-8m	1280112	55.9407502947471	14.0432523600774	4016155	176	53941011
CA-L227-2013.78	L227-2014-8m	487736	20.6954064272918	7.13363023752364	4016155	176	51774711
CA-L227-2013.78	L227-2014-6m	137894	5.99855807358033	3.41299677781415	4016155	176	77902434
CA-L227-2013.78	L442-2011-16-5m	2474	0.11028135119287	0.587871141637081	4016155	176	61146180
CA-L442.12	L227-2013-6m	19472	0.783984848638239	8.40637979216708	3852327	423	53941731
CA-L442.12	L442-2014-15m	167056	7.29079696505515	4.3502968822682	3852327	423	54406863
CA-L442.12	L227-2013-8m	2686	0.11664871647708	0.616528730852437	3852327	423	53941011
CA-L442.12	L227-2014-8m	2738	0.107119151619268	0.611074818003324	3852327	423	51774711
CA-L442.12	L227-2014-6m	6118	0.243451295801213	1.14049803623498	3852327	423	77902434
CA-L442.12	L442-2011-16-5m	136064	6.3183647182599	3.7937569705701	3852327	423	61146180
L227-2014-8m.009	L227-2013-6m	12542	0.58606961161077	2.08085291871195	3471260	998	53941731
L227-2014-8m.009	L442-2014-15m	590	0.029887994561053	0.29368255245308	3471260	998	54406863
L227-2014-8m.009	L227-2013-8m	92626	4.58556374342458	6.42959782116688	3471260	998	53941011
L227-2014-8m.009	L227-2014-8m	166541	8.12077660561295	5.15951298071145	3471260	998	51774711
L227-2014-8m.009	L227-2014-6m	33272	1.6159962088694	3.53127081188795	3471260	998	77902434
L227-2014-8m.009	L442-2011-16-5m	1128	0.057396737783975	0.45026219920562	3471260	998	61146180
L227_2013_bin55	L227-2013-6m	541690	37.1088557809066	11.7902499403141	2380829	208	53941731
L227_2013_bin55	L442-2014-15m	98	0.006348628985954	0.114084341233076	2380829	208	54406863
L227_2013_bin55	L227-2013-8m	264022	19.5432859730791	7.06648825686539	2380829	208	53941011
L227_2013_bin55	L227-2014-8m	86878	5.61321329671304	3.7074537985792	2380829	208	51774711
L227_2013_bin55	L227-2014-6m	267718	18.1176543968508	8.35917477818057	2380829	208	77902434
L227_2013_bin55	L442-2011-16-5m	52	0.003257688813434	0.076229204210147	2380829	208	61146180
CA-L442.60	L227-2013-6m	6832	0.360379476339236	3.12234709073456	2990753	578	53941731
CA-L442.60	L442-2014-15m	230888	12.8311321596936	7.29341886861285	2990753	578	54406863
CA-L442.60	L227-2013-8m	2926	0.161546941522754	1.32194570411393	2990753	578	53941011
CA-L442.60	L227-2014-8m	3506	0.176812327865257	1.53567344406151	2990753	578	51774711
CA-L442.60	L227-2014-6m	11758	0.627230667326924	5.03192756629993	2990753	578	77902434
CA-L442.60	L442-2011-16-5m	57008	3.36047142642672	2.9190616689721	2990753	578	61146180
L442-2011-16-5m.006	L227-2013-6m	108821	5.37700717463315	3.60509185521817	3305953	125	53941731
L442-2011-16-5m.006	L442-2014-15m	454822	23.9592547141475	10.9661538058142	3305953	125	54406863
L442-2011-16-5m.006	L227-2013-8m	58614	3.05335526548623	2.58803707938519	3305953	125	53941011
L442-2011-16-5m.006	L227-2014-8m	33600	1.66187541081195	1.97061156162941	3305953	125	51774711
L442-2011-16-5m.006	L227-2014-6m	116180	5.89775656217738	4.27486731048749	3305953	125	77902434
L442-2011-16-5m.006	L442-2011-16-5m	703842	38.4095681336063	13.4241916062597	3305953	125	61146180
L442-2011-16-5m.007	L227-2013-6m	11930	0.789467311793437	5.45977464512901	2180450	336	53941731
L442-2011-16-5m.007	L442-2014-15m	86501	7.1959774358504	6.08274583432473	2180450	336	54406863
L442-2011-16-5m.007	L227-2013-8m	882	0.06142264211516	0.522260550234969	2180450	336	53941011
L442-2011-16-5m.007	L227-2014-8m	1250	0.08338783278681	0.705410203416372	2180450	336	51774711
L442-2011-16-5m.007	L227-2014-6m	6254	0.416517232681327	2.98767731123343	2180450	336	77902434
L442-2011-16-5m.007	L442-2011-16-5m	475678	39.713653144993	16.5076274385092	2180450	336	61146180
CA-L227-2013.43	L227-2013-6m	420936	14.0918107335562	5.7335662444112	4814546	309	53941731
CA-L227-2013.43	L442-2014-15m	316	0.010706097729672	0.195269339455592	4814546	309	54406863
CA-L227-2013.43	L227-2013-8m	327538	11.8238432034921	4.95582489064813	4814546	309	53941011
CA-L227-2013.43	L227-2014-8m	145036	4.82369926468664	3.18391756349136	4814546	309	51774711
CA-L227-2013.43	L227-2014-6m	157914	5.33126051760644	3.30991627087723	4814546	309	77902434
CA-L227-2013.43	L442-2011-16-5m	280	0.009951717150485	0.15498441455355	4814546	309	61146180
L227-2013-8m.008	L227-2013-6m	431114	26.4245082267272	17.1950943206835	2526825	206	53941731
L227-2013-8m.008	L442-2014-15m	64928	4.24711367031749	5.08290426458539	2526825	206	54406863
L227-2013-8m.008	L227-2013-8m	122442	7.99716442571211	5.72128067070656	2526825	206	53941011
L227-2013-8m.008	L227-2014-8m	55620	3.33141432430026	3.20995338761933	2526825	206	51774711
