"seqid"	"source"	"start"	"end"	"strand"	"accession"	"product"	"genome"
"NZ_MPJE01000115.1"	"Protein Homology"	-482	-126	"+"	"WP_076793039.1"	"cytochrome c5 family protein"	"Chl_phaeoferrooxidans"
"NZ_MPJE01000115.1"	"Protein Homology"	0	1235	"+"	"WP_076792910.1"	"cyc2"	"Chl_phaeoferrooxidans"
"NZ_MPJE01000115.1"	"Protein Homology"	1857	2372	"+"	"WP_083694690.1"	"TlpA family protein disulfide reductase"	"Chl_phaeoferrooxidans"
"NZ_MPJE01000115.1"	"Protein Homology"	2381	2608	"+"	"WP_076793041.1"	"DUF4266 domain-containing protein"	"Chl_phaeoferrooxidans"
"NZ_MPJE01000115.1"	"Protein Homology"	2637	3749	"+"	"WP_076792912.1"	"DUF3570 domain-containing protein"	"Chl_phaeoferrooxidans"
"NZ_MPJE01000115.1"	"Protein Homology"	4486	4593	"+"	NA	"oligopeptide transporter substrate-binding protein"	"Chl_phaeoferrooxidans"
"NZ_MPJE01000115.1"	"Protein Homology"	4805	5830	"-"	"WP_076792915.1"	"phenylalanine--tRNA ligase subunit alpha"	"Chl_phaeoferrooxidans"
"NZ_MPJE01000115.1"	"Protein Homology"	5848	6195	"-"	"WP_006367175.1"	"50S ribosomal protein L20"	"Chl_phaeoferrooxidans"
"NZ_MPJE01000115.1"	"Protein Homology"	6222	6416	"-"	"WP_006367174.1"	"50S ribosomal protein L35"	"Chl_phaeoferrooxidans"
"NC_007512.1"	"Protein Homology"	-6350	-4632	"-"	"WP_011358178.1"	"nickel-dependent hydrogenase large subunit"	"Chl_luteolum"
"NC_007512.1"	"Protein Homology"	-4617	-3529	"-"	"WP_011358177.1"	"Ni-Fe hydrogenase small subunit"	"Chl_luteolum"
"NC_007512.1"	"GeneMarkS+"	-3539	-3273	"-"	"WP_041463864.1"	"hypothetical protein"	"Chl_luteolum"
"NC_007512.1"	"Protein Homology"	-2884	-1271	"+"	"WP_011358176.1"	"carbon starvation protein A"	"Chl_luteolum"
"NC_007512.1"	"Protein Homology"	-1263	-916	"-"	"WP_011358175.1"	"DUF4282 domain-containing protein"	"Chl_luteolum"
"NC_007512.1"	"Protein Homology"	-504	-67	"+"	"WP_081423692.1"	"cytochrome c5 family protein"	"Chl_luteolum"
"NC_007512.1"	"Protein Homology"	0	1265	"+"	"WP_011358173.1"	"cyc2"	"Chl_luteolum"
"NC_007512.1"	"Protein Homology"	1851	2477	"+"	"WP_011358172.1"	"hypothetical protein"	"Chl_luteolum"
"NC_007512.1"	"Protein Homology"	2482	3723	"+"	"WP_011358171.1"	"hypothetical protein"	"Chl_luteolum"
"NC_007512.1"	"Protein Homology"	3867	4748	"+"	"WP_011358170.1"	"cation transporter"	"Chl_luteolum"
"NC_007512.1"	"Protein Homology"	4810	5247	"-"	"WP_041464150.1"	"6-carboxytetrahydropterin synthase"	"Chl_luteolum"
"CA-L227-2013_20535"	"Prodigal:2.6"	-4662	-4066	"+"	"CBIDHOKM_00210"	"hypothetical protein"	"L227_2013_Bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	-4055	-3312	"+"	"CBIDHOKM_00211"	"Ribosomal RNA small subunit methyltransferase E"	"L227_2013_Bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	-3268	-2186	"+"	"CBIDHOKM_00212"	"Putative transport protein"	"L227_2013_Bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	-2043	-1621	"-"	"CBIDHOKM_00213"	"Nucleoside diphosphate kinase"	"L227_2013_Bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	-1223	-870	"-"	"CBIDHOKM_00214"	"hypothetical protein"	"L227_2013_Bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	-548	-141	"+"	"CBIDHOKM_00215"	"hypothetical protein"	"L227_2013_Bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	0	1256	"+"	"CBIDHOKM_00216"	"cyc2"	"L227_2013_Bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	1380	2849	"-"	"CBIDHOKM_00217"	"Adaptive-response sensory-kinase SasA"	"L227_2013_Bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	3196	5274	"+"	"CBIDHOKM_00218"	"hypothetical protein"	"L227_2013_Bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	5212	5358	"-"	"CBIDHOKM_00219"	"hypothetical protein"	"L227_2013_Bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	5441	6442	"+"	"CBIDHOKM_00220"	"hypothetical protein"	"L227_2013_Bin56"
"CA-L227-2014_238212"	"Prodigal:2.6"	-1036	-695	"+"	"CA-L227-2014_163909"	"hypothetical protein"	"L227_2014_Bin92a"
"CA-L227-2014_238212"	"Prodigal:2.6"	-401	-39	"+"	"CA-L227-2014_163910"	"Cytochrome c-555"	"L227_2014_Bin92a"
"CA-L227-2014_238212"	"Prodigal:2.6"	0	1256	"+"	"CA-L227-2014_163911"	"cyc2"	"L227_2014_Bin92a"
"CA-L227-2014_238212"	"Prodigal:2.6"	1469	2434	"-"	"CA-L227-2014_163912"	"Cadmium%2C cobalt and zinc/H(+)-K(+) antiporter"	"L227_2014_Bin92a"
"CA-L227-2014_238212"	"Prodigal:2.6"	2665	3273	"+"	"CA-L227-2014_163913"	"hypothetical protein"	"L227_2014_Bin92a"
"CA-L227-2014_238212"	"Prodigal:2.6"	3572	3736	"-"	"CA-L227-2014_163914"	"hypothetical protein"	"L227_2014_Bin92a"
"CA-L227-2014_238212"	"Prodigal:2.6"	3755	4036	"-"	"CA-L227-2014_163915"	"hypothetical protein"	"L227_2014_Bin92a"
"CA-L227-2014_238212"	"Prodigal:2.6"	4043	4432	"-"	"CA-L227-2014_163916"	"hypothetical protein"	"L227_2014_Bin92a"
"L227_S_6D_2"	"Prodigal:2.6"	-4516	-1901	"+"	"HPPIFCBA_00308"	"hypothetical protein"	"L227_enr_6D"
"L227_S_6D_2"	"Prodigal:2.6"	-1901	-1458	"+"	"HPPIFCBA_00309"	"hypothetical protein"	"L227_enr_6D"
"L227_S_6D_2"	"Prodigal:2.6"	-1384	-782	"+"	"HPPIFCBA_00310"	"hypothetical protein"	"L227_enr_6D"
"L227_S_6D_2"	"Prodigal:2.6"	-663	-265	"+"	"HPPIFCBA_00311"	"Cytochrome c-555"	"L227_enr_6D"
"L227_S_6D_2"	"Prodigal:2.6"	0	1271	"+"	"HPPIFCBA_00312"	"cyc2"	"L227_enr_6D"
"L227_S_6D_2"	"Prodigal:2.6"	1842	2360	"+"	"HPPIFCBA_00313"	"Thiol-disulfide oxidoreductase ResA"	"L227_enr_6D"
"L227_S_6D_2"	"Prodigal:2.6"	2372	2593	"+"	"HPPIFCBA_00314"	"hypothetical protein"	"L227_enr_6D"
"L227_S_6D_2"	"Prodigal:2.6"	2621	3790	"+"	"HPPIFCBA_00315"	"hypothetical protein"	"L227_enr_6D"
"L227_S_6D_2"	"Prodigal:2.6"	4194	5906	"+"	"HPPIFCBA_00316"	"hypothetical protein"	"L227_enr_6D"
"L227_S_6D_2"	"Prodigal:2.6"	6024	6914	"+"	"HPPIFCBA_00317"	"FAD:protein FMN transferase"	"L227_enr_6D"
"L304_S_6D_0"	"Prodigal:2.6"	-2772	-1573	"+"	"PLDLAPEK_01770"	"Tryptophan synthase beta chain"	"L304_enr_6D"
"L304_S_6D_0"	"Prodigal:2.6"	-466	-83	"+"	"PLDLAPEK_01772"	"hypothetical protein"	"L304_enr_6D"
"L304_S_6D_0"	"Prodigal:2.6"	0	1241	"+"	"PLDLAPEK_01773"	"cyc2"	"L304_enr_6D"
"L304_S_6D_0"	"Prodigal:2.6"	1573	1791	"-"	"PLDLAPEK_01774"	"hypothetical protein"	"L304_enr_6D"
"L304_S_6D_0"	"Prodigal:2.6"	2064	2927	"+"	"PLDLAPEK_01775"	"hypothetical protein"	"L304_enr_6D"
"L304_S_6D_0"	"Prodigal:2.6"	3137	3598	"+"	"PLDLAPEK_01776"	"hypothetical protein"	"L304_enr_6D"
"L304_S_6D_0"	"Prodigal:2.6"	4004	7225	"+"	"PLDLAPEK_01777"	"hypothetical protein"	"L304_enr_6D"
