user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	red_value	warnings
CA-L227-2014.106	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__	GCF_000020645.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeoclathratiforme	81.98	0.48	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCF_000168715.1, s__Chlorobium ferrooxidans, 95.0, 78.37, 0.27; GCF_000015125.1, s__Chlorobium phaeobacteroides, 95.0, 77.86, 0.15; GCF_000020465.1, s__Chlorobium limicola, 95.0, 77.09, 0.12; GCF_000016085.1, s__Chlorobium phaeovibrioides, 95.0, 77.05, 0.11; GCF_001509575.1, s__Chlorobium limicola_A, 95.0, 76.78, 0.09; GCF_000012485.1, s__Chlorobium luteolum_A, 95.0, 76.62, 0.09; GCA_001622165.1, s__Chlorobium luteolum, 95.0, 76.47, 0.09; GCF_000012585.1, s__Chlorobium chlorochromatii, 95.0, 76.02, 0.06	90.17	0.9566384446961742	Genome has more than 70.8% of markers with multiple hits
CA-L442.74	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__	GCF_000020645.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeoclathratiforme	78.94	0.51	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCF_000168715.1, s__Chlorobium ferrooxidans, 95.0, 78.24, 0.34; GCF_000015125.1, s__Chlorobium phaeobacteroides, 95.0, 76.76, 0.16; GCF_000016085.1, s__Chlorobium phaeovibrioides, 95.0, 76.68, 0.12; GCF_000020465.1, s__Chlorobium limicola, 95.0, 76.48, 0.18; GCF_001509575.1, s__Chlorobium limicola_A, 95.0, 76.33, 0.12	93.45	0.9405472483637976	N/A
L442-2011-16-5m.008	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__	GCF_000020645.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeoclathratiforme	79.82	0.6	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCF_000168715.1, s__Chlorobium ferrooxidans, 95.0, 78.27, 0.39; GCF_000015125.1, s__Chlorobium phaeobacteroides, 95.0, 77.39, 0.24; GCF_000020465.1, s__Chlorobium limicola, 95.0, 77.29, 0.16; GCF_001509575.1, s__Chlorobium limicola_A, 95.0, 76.93, 0.15; GCF_000016085.1, s__Chlorobium phaeovibrioides, 95.0, 76.89, 0.14	83.81	0.9399222406684931	N/A
CA-L227-2014.92	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__	GCF_000020645.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeoclathratiforme	78.98	0.39	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCF_000168715.1, s__Chlorobium ferrooxidans, 95.0, 77.93, 0.29; GCF_000015125.1, s__Chlorobium phaeobacteroides, 95.0, 76.96, 0.15; GCF_000016085.1, s__Chlorobium phaeovibrioides, 95.0, 76.83, 0.11; GCF_000020465.1, s__Chlorobium limicola, 95.0, 76.36, 0.14	59.19	0.9392579979123722	Genome has more than 19.2% of markers with multiple hits
L227_enr_S_6D_bin01	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__	GCF_000020645.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeoclathratiforme	79.6	0.47	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCF_000168715.1, s__Chlorobium ferrooxidans, 95.0, 77.91, 0.29; GCF_000015125.1, s__Chlorobium phaeobacteroides, 95.0, 77.63, 0.2; GCF_000020465.1, s__Chlorobium limicola, 95.0, 77.35, 0.13; GCF_001509575.1, s__Chlorobium limicola_A, 95.0, 77.12, 0.11; GCF_000012485.1, s__Chlorobium luteolum_A, 95.0, 76.77, 0.08; GCF_000016085.1, s__Chlorobium phaeovibrioides, 95.0, 76.71, 0.1; GCF_000012585.1, s__Chlorobium chlorochromatii, 95.0, 76.67, 0.1; GCA_001622165.1, s__Chlorobium luteolum, 95.0, 76.44, 0.08	98.99	0.9375683497762534	N/A
L442_2011_2014_bin64	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__	GCF_000020645.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeoclathratiforme	78.99	0.47	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCF_000168715.1, s__Chlorobium ferrooxidans, 95.0, 77.92, 0.33; GCF_000015125.1, s__Chlorobium phaeobacteroides, 95.0, 77.13, 0.17; GCF_000020465.1, s__Chlorobium limicola, 95.0, 77.03, 0.15; GCF_000016085.1, s__Chlorobium phaeovibrioides, 95.0, 76.79, 0.14; GCF_001509575.1, s__Chlorobium limicola_A, 95.0, 76.73, 0.12; GCF_000012485.1, s__Chlorobium luteolum_A, 95.0, 76.49, 0.1; GCA_001622165.1, s__Chlorobium luteolum, 95.0, 76.18, 0.12; GCF_000012585.1, s__Chlorobium chlorochromatii, 95.0, 76.03, 0.11	92.25	0.9367860568716713	N/A
L227_2013_bin22	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__	GCF_000020645.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeoclathratiforme	78.47	0.34	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCF_000168715.1, s__Chlorobium ferrooxidans, 95.0, 78.21, 0.3; GCF_000015125.1, s__Chlorobium phaeobacteroides, 95.0, 77.06, 0.16; GCF_000020465.1, s__Chlorobium limicola, 95.0, 77.03, 0.13; GCF_001509575.1, s__Chlorobium limicola_A, 95.0, 77.01, 0.1; GCF_000016085.1, s__Chlorobium phaeovibrioides, 95.0, 76.74, 0.09; GCA_001622165.1, s__Chlorobium luteolum, 95.0, 76.5, 0.07; GCF_000012485.1, s__Chlorobium luteolum_A, 95.0, 76.14, 0.09	94.6	0.9307492964324767	N/A
L227_2013_bin56	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__	GCF_000020645.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeoclathratiforme	77.97	0.31	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCF_000168715.1, s__Chlorobium ferrooxidans, 95.0, 77.3, 0.23; GCF_000015125.1, s__Chlorobium phaeobacteroides, 95.0, 76.94, 0.14; GCF_000020465.1, s__Chlorobium limicola, 95.0, 76.93, 0.1; GCF_001509575.1, s__Chlorobium limicola_A, 95.0, 76.81, 0.09; GCF_000016085.1, s__Chlorobium phaeovibrioides, 95.0, 76.46, 0.08	94.46	0.9304732850715512	N/A
L227_2013_bin55	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__	GCF_000020645.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeoclathratiforme	79.29	0.49	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCF_000168715.1, s__Chlorobium ferrooxidans, 95.0, 78.69, 0.41; GCF_000020465.1, s__Chlorobium limicola, 95.0, 77.43, 0.19; GCA_001622165.1, s__Chlorobium luteolum, 95.0, 77.16, 0.1; GCF_000015125.1, s__Chlorobium phaeobacteroides, 95.0, 77.16, 0.22; GCF_001509575.1, s__Chlorobium limicola_A, 95.0, 77.08, 0.15; GCF_000012485.1, s__Chlorobium luteolum_A, 95.0, 76.87, 0.11; GCF_000016085.1, s__Chlorobium phaeovibrioides, 95.0, 76.74, 0.14	95.11	0.9296111738877463	N/A
L304_enr_S_6D_bin01	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__	GCF_000020465.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium limicola	77.57	0.18	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCF_001509575.1, s__Chlorobium limicola_A, 95.0, 77.39, 0.12; GCF_000168715.1, s__Chlorobium ferrooxidans, 95.0, 77.17, 0.19; GCF_000012485.1, s__Chlorobium luteolum_A, 95.0, 77.15, 0.14; GCF_000016085.1, s__Chlorobium phaeovibrioides, 95.0, 77.09, 0.11; GCA_001622165.1, s__Chlorobium luteolum, 95.0, 76.93, 0.14; GCF_000020645.1, s__Chlorobium phaeoclathratiforme, 95.0, 76.79, 0.16; GCF_000015125.1, s__Chlorobium phaeobacteroides, 95.0, 76.76, 0.16	98.97	0.9015295090457583	N/A
CA-L227-2013.51	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__	GCF_000183135.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__Paludibacter propionicigenes	77.89	0.19	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCA_002427615.1, s__, 95.0, 77.61, 0.13; GCA_001873635.1, s__, 95.0, 77.19, 0.08; GCA_001898935.1, s__, 95.0, 76.08, 0.04	91.24	0.9632789271513379	N/A
CA-L227-2014.61	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	N/A	95.13	0.7830630091478827	N/A
CA-L227-2013.78	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	N/A	97.86	0.7816068752949159	N/A
L227_S_6D.002	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__UBA4417;s__	GCA_002389705.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__UBA4417;s__	77.62	0.15	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	99.01	0.9537235417074186	N/A
L227_S_6D.003	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	98.73	0.7917252639439123	N/A
CA-L227-2013.83	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	89.69	0.7828571202844816	N/A
CA-L442.19	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748065;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	94.56	0.7988881592249877	N/A
CA-L227-2014.88	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748065;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	97.28	0.7975059947052449	N/A
CA-L227-2013.6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__BSSC1;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	78.89	0.9714764973096326	N/A
L227-2014-6m.034	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__BSSC1;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	82.16	0.9707530410115007	N/A
L227-2013-8m.008	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	89.59	0.8655149765467219	N/A
CA-L227-2013.48	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1784;f__GWF2-38-69;g__GWF2-38-69;s__	GCA_001803205.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1784;f__GWF2-38-69;g__GWF2-38-69;s__	76.5	0.12	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	73.9	0.8959914641694762	N/A
CA-L227-2013.43	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	N/A	77.74	0.7888117784254132	N/A
CA-L442.72	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	72.04	0.6839430036250462	N/A
L442-2014-15m.009	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	65.4	0.6779383102541291	Genome has more than 17.5% of markers with multiple hits
CA-L442.92	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	N/A	76.05	0.647086454277522	N/A
CA-L442.15	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	N/A	65.3	0.6420013766416441	N/A
CA-L442.12	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__	GCF_900104925.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__	80.58	0.44	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCF_001746835.1, s__Lacunisphaera limnophila, 95.0, 79.84, 0.36; GCA_001464505.1, s__, 95.0, 79.7, 0.35	82.7	0.9592711241912126	Genome has more than 15.8% of markers with multiple hits
CA-L227-2013.23	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__UBA953;g__UBA953;s__	GCA_002293125.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__UBA953;g__UBA953;s__UBA953 sp2	82.21	0.63	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCA_002293065.1, s__UBA953 sp1, 95.0, 79.52, 0.41; GCA_002470605.1, s__, 95.0, 79.3, 0.4	80.89	0.9730726830547181	N/A
CA-L227-2013.31	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	84.45	0.9036308979468862	N/A
CA-L227-2013.67	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	86.87	0.9012026226778228	N/A
L442-2011-16-5m.015	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__UBA3015;g__UBA3015;s__	GCA_001438005.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__UBA3015;g__UBA3015;s__UBA3015 sp1	78.24	0.23	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCA_002367435.1, s__, 95.0, 77.66, 0.27	74.18	0.9428851541551456	N/A
L227-2013-6m.007	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__UBA695;s__	GCA_002298145.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__UBA695;s__	79.79	0.39	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	90.67	0.899181219534341	N/A
CA-L227-2014.4	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__UBA695;s__	GCA_002298145.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__UBA695;s__	78.96	0.43	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	90.43	0.8960025553087412	N/A
CA-L227-2013.3	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__UBA695;s__	GCA_002298145.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__UBA695;s__	77.83	0.15	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	86.38	0.8586044353038871	N/A
CA-L227-2014.46	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA6821;g__UBA6821;s__	GCA_002452515.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA6821;g__UBA6821;s__	77.73	0.25	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	72.91	0.9532935505893451	N/A
CA-L227-2014.52	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA6821;g__UBA6821;s__	GCA_002452515.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA6821;g__UBA6821;s__	76.54	0.14	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	80.68	0.9314449985100476	N/A
CA-L442.60	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	79.72	0.9312285378573588	N/A
L442-2014-15m.004	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	80.32	0.925482769414616	N/A
L227-2014-6m.006	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfatirhabdiaceae;g__RAAP-1;s__	GCA_001443525.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfatirhabdiaceae;g__RAAP-1;s__	77.43	0.21	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	78.41	0.8900596433024717	N/A
