seqid	source	start	end	strand	accession	product	genome	old
L227_S_6D_2	Prodigal:2.6	4194	5906	+	L227_S_6D_01959	Divergent	L227_enr_S_6D_bin01	hypothetical protein
L227_S_6D_2	Prodigal:2.6	6024	6914	+	L227_S_6D_01960	Known	L227_enr_S_6D_bin01	FAD:protein FMN transferase
L304_S_6D_0	Prodigal:2.6	-5597	-2913	-	L304_S_6D_00450	Hypothetical protein	L304_enr_S_6D_bin01	LPS-assembly protein LptD
L304_S_6D_0	Prodigal:2.6	-2772	-1573	+	L304_S_6D_00449	Known	L304_enr_S_6D_bin01	Tryptophan synthase beta chain
L304_S_6D_0	Prodigal:2.6	-466	-83	+	L304_S_6D_00447	Cyt c5 family protein	L304_enr_S_6D_bin01	Cytochrome c-555
L304_S_6D_0	Prodigal:2.6	0	1241	+	L304_S_6D_00446	Cyc2 protein	L304_enr_S_6D_bin01	cyc2
L304_S_6D_0	Prodigal:2.6	1573	1791	-	L304_S_6D_00445	Hypothetical protein	L304_enr_S_6D_bin01	hypothetical protein
L304_S_6D_0	Prodigal:2.6	2064	2927	+	L304_S_6D_00444	Known	L304_enr_S_6D_bin01	hypothetical protein
L304_S_6D_0	Prodigal:2.6	3137	3598	+	L304_S_6D_00443	Hypothetical protein	L304_enr_S_6D_bin01	hypothetical protein
L304_S_6D_0	Prodigal:2.6	4004	7225	+	L304_S_6D_00442	Hypothetical protein	L304_enr_S_6D_bin01	Bifunctional hemolysin/adenylate cyclase
