"seqid"	"source"	"start"	"end"	"strand"	"accession"	"product"	"genome"
"NZ_MPJE01000115.1"	"Protein Homology"	-2535	-2062	"+"	"WP_076792905.1"	"single-stranded DNA-binding protein"	"Chl_phaeoferrooxidans_KB01"
"NZ_MPJE01000115.1"	"Protein Homology"	-2026	-1748	"+"	"WP_006367391.1"	"30S ribosomal protein S18"	"Chl_phaeoferrooxidans_KB01"
"NZ_MPJE01000115.1"	"Protein Homology"	-1711	-1256	"+"	"WP_076792907.1"	"50S ribosomal protein L9"	"Chl_phaeoferrooxidans_KB01"
"NZ_MPJE01000115.1"	"GeneMarkS+"	-909	-721	"-"	"WP_076792909.1"	"hypothetical protein"	"Chl_phaeoferrooxidans_KB01"
"NZ_MPJE01000115.1"	"Protein Homology"	-482	-126	"+"	"WP_076793039.1"	"cytochrome c5 family protein"	"Chl_phaeoferrooxidans_KB01"
"NZ_MPJE01000115.1"	"Protein Homology"	0	1235	"+"	"WP_076792910.1"	"cyc2"	"Chl_phaeoferrooxidans_KB01"
"NZ_MPJE01000115.1"	"Protein Homology"	1857	2372	"+"	"WP_083694690.1"	"TlpA family protein disulfide reductase"	"Chl_phaeoferrooxidans_KB01"
"NZ_MPJE01000115.1"	"Protein Homology"	2381	2608	"+"	"WP_076793041.1"	"DUF4266 domain-containing protein"	"Chl_phaeoferrooxidans_KB01"
"NZ_MPJE01000115.1"	"Protein Homology"	2637	3749	"+"	"WP_076792912.1"	"DUF3570 domain-containing protein"	"Chl_phaeoferrooxidans_KB01"
"NZ_MPJE01000115.1"	"Protein Homology"	4486	4593	"+"	NA	"oligopeptide transporter substrate-binding protein"	"Chl_phaeoferrooxidans_KB01"
"NZ_MPJE01000115.1"	"Protein Homology"	4805	5830	"-"	"WP_076792915.1"	"phenylalanine--tRNA ligase subunit alpha"	"Chl_phaeoferrooxidans_KB01"
"NZ_MPJE01000115.1"	"Protein Homology"	5848	6195	"-"	"WP_006367175.1"	"50S ribosomal protein L20"	"Chl_phaeoferrooxidans_KB01"
"NZ_MPJE01000115.1"	"Protein Homology"	6222	6416	"-"	"WP_006367174.1"	"50S ribosomal protein L35"	"Chl_phaeoferrooxidans_KB01"
"NZ_SJPA01000001.1"	"Protein Homology"	-5774	-4962	"+"	"WP_131353801.1"	"type III pantothenate kinase"	"Chl_N1"
"NZ_SJPA01000001.1"	"Protein Homology"	-4984	-3887	"-"	"WP_131353799.1"	"3-dehydroquinate synthase"	"Chl_N1"
"NZ_SJPA01000001.1"	"Protein Homology"	-3890	-3285	"-"	"WP_131353797.1"	"shikimate kinase"	"Chl_N1"
"NZ_SJPA01000001.1"	"Protein Homology"	-3172	-1853	"-"	"WP_131353795.1"	"30S ribosomal protein S12 methylthiotransferase RimO"	"Chl_N1"
"NZ_SJPA01000001.1"	"Protein Homology"	-1849	-719	"-"	"WP_131353793.1"	"tRNA guanosine(34) transglycosylase Tgt"	"Chl_N1"
"NZ_SJPA01000001.1"	"Protein Homology"	-400	-62	"+"	"WP_131353791.1"	"cytochrome c5 family protein"	"Chl_N1"
"NZ_SJPA01000001.1"	"Protein Homology"	0	1250	"+"	"WP_131354685.1"	"cyc2"	"Chl_N1"
"NZ_SJPA01000001.1"	"Protein Homology"	1356	2174	"-"	"WP_131353789.1"	"transglutaminase family protein"	"Chl_N1"
"NZ_SJPA01000001.1"	"Protein Homology"	2187	3263	"-"	"WP_131353787.1"	"alpha-E domain-containing protein"	"Chl_N1"
"NZ_SJPA01000001.1"	"Protein Homology"	3290	4738	"-"	"WP_131353785.1"	"circularly permuted type 2 ATP-grasp protein"	"Chl_N1"
"NZ_SJPA01000001.1"	"Protein Homology"	4970	5983	"+"	"WP_131353783.1"	"NAD-dependent epimerase"	"Chl_N1"
"NC_007512.1"	"Protein Homology"	-6350	-4632	"-"	"WP_011358178.1"	"nickel-dependent hydrogenase large subunit"	"Chl_luteolum_DSM_273"
"NC_007512.1"	"Protein Homology"	-4617	-3529	"-"	"WP_011358177.1"	"Ni-Fe hydrogenase small subunit"	"Chl_luteolum_DSM_273"
"NC_007512.1"	"GeneMarkS+"	-3539	-3273	"-"	"WP_041463864.1"	"hypothetical protein"	"Chl_luteolum_DSM_273"
"NC_007512.1"	"Protein Homology"	-2884	-1271	"+"	"WP_011358176.1"	"carbon starvation protein A"	"Chl_luteolum_DSM_273"
"NC_007512.1"	"Protein Homology"	-1263	-916	"-"	"WP_011358175.1"	"DUF4282 domain-containing protein"	"Chl_luteolum_DSM_273"
"NC_007512.1"	"Protein Homology"	-504	-67	"+"	"WP_081423692.1"	"cytochrome c5 family protein"	"Chl_luteolum_DSM_273"
"NC_007512.1"	"Protein Homology"	0	1265	"+"	"WP_011358173.1"	"cyc2"	"Chl_luteolum_DSM_273"
"NC_007512.1"	"Protein Homology"	1851	2477	"+"	"WP_011358172.1"	"hypothetical protein"	"Chl_luteolum_DSM_273"
"NC_007512.1"	"Protein Homology"	2482	3723	"+"	"WP_011358171.1"	"hypothetical protein"	"Chl_luteolum_DSM_273"
"NC_007512.1"	"Protein Homology"	3867	4748	"+"	"WP_011358170.1"	"cation transporter"	"Chl_luteolum_DSM_273"
"NC_007512.1"	"Protein Homology"	4810	5247	"-"	"WP_041464150.1"	"6-carboxytetrahydropterin synthase"	"Chl_luteolum_DSM_273"
"CA-L227-2013_20535"	"Prodigal:2.6"	-4662	-4066	"+"	"CA-L227-2013_21205"	"hypothetical protein"	"L227_2013_bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	-4055	-3312	"+"	"CA-L227-2013_21206"	"Ribosomal RNA small subunit methyltransferase E"	"L227_2013_bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	-3268	-2186	"+"	"CA-L227-2013_21207"	"hypothetical protein"	"L227_2013_bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	-2043	-1621	"-"	"CA-L227-2013_21208"	"Nucleoside diphosphate kinase"	"L227_2013_bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	-1223	-870	"-"	"CA-L227-2013_21209"	"hypothetical protein"	"L227_2013_bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	-548	-141	"+"	"CA-L227-2013_21210"	"Cytochrome c-555"	"L227_2013_bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	0	1256	"+"	"CA-L227-2013_21211"	"cyc2"	"L227_2013_bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	1380	2849	"-"	"CA-L227-2013_21212"	"Sensor kinase CusS"	"L227_2013_bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	3229	5274	"+"	"CA-L227-2013_21213"	"hypothetical protein"	"L227_2013_bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	5212	5358	"-"	"CA-L227-2013_21214"	"hypothetical protein"	"L227_2013_bin56"
"CA-L227-2013_20535"	"Prodigal:2.6"	5441	6442	"+"	"CA-L227-2013_21215"	"hypothetical protein"	"L227_2013_bin56"
"CA-L227-2014_238212"	"Prodigal:2.6"	-1036	-695	"+"	"CA-L227-2014_163909"	"hypothetical protein"	"L227_2014_bin92"
"CA-L227-2014_238212"	"Prodigal:2.6"	-401	-39	"+"	"CA-L227-2014_163910"	"Cytochrome c-555"	"L227_2014_bin92"
"CA-L227-2014_238212"	"Prodigal:2.6"	0	1256	"+"	"CA-L227-2014_163911"	"cyc2"	"L227_2014_bin92"
"CA-L227-2014_238212"	"Prodigal:2.6"	1469	2434	"-"	"CA-L227-2014_163912"	"Cadmium%2C cobalt and zinc/H(+)-K(+) antiporter"	"L227_2014_bin92"
"CA-L227-2014_238212"	"Prodigal:2.6"	2665	3273	"+"	"CA-L227-2014_163913"	"hypothetical protein"	"L227_2014_bin92"
"CA-L227-2014_238212"	"Prodigal:2.6"	3572	3736	"-"	"CA-L227-2014_163914"	"hypothetical protein"	"L227_2014_bin92"
"CA-L227-2014_238212"	"Prodigal:2.6"	3755	4036	"-"	"CA-L227-2014_163915"	"hypothetical protein"	"L227_2014_bin92"
"CA-L227-2014_238212"	"Prodigal:2.6"	4043	4432	"-"	"CA-L227-2014_163916"	"hypothetical protein"	"L227_2014_bin92"
"L227_S_6D_2"	"Prodigal:2.6"	-4516	-1901	"+"	"L227_S_6D_01951"	"hypothetical protein"	"L227_enr_S_6D_bin01"
"L227_S_6D_2"	"Prodigal:2.6"	-1901	-1458	"+"	"L227_S_6D_01952"	"Cbb3-type cytochrome c oxidase subunit CcoP2"	"L227_enr_S_6D_bin01"
"L227_S_6D_2"	"Prodigal:2.6"	-1384	-782	"+"	"L227_S_6D_01953"	"hypothetical protein"	"L227_enr_S_6D_bin01"
"L227_S_6D_2"	"Prodigal:2.6"	-663	-265	"+"	"L227_S_6D_01954"	"Cytochrome c-555"	"L227_enr_S_6D_bin01"
"L227_S_6D_2"	"Prodigal:2.6"	0	1271	"+"	"L227_S_6D_01955"	"cyc2"	"L227_enr_S_6D_bin01"
"L227_S_6D_2"	"Prodigal:2.6"	1842	2360	"+"	"L227_S_6D_01956"	"Thiol-disulfide oxidoreductase ResA"	"L227_enr_S_6D_bin01"
"L227_S_6D_2"	"Prodigal:2.6"	2372	2593	"+"	"L227_S_6D_01957"	"hypothetical protein"	"L227_enr_S_6D_bin01"
"L227_S_6D_2"	"Prodigal:2.6"	2621	3790	"+"	"L227_S_6D_01958"	"hypothetical protein"	"L227_enr_S_6D_bin01"
"L227_S_6D_2"	"Prodigal:2.6"	4194	5906	"+"	"L227_S_6D_01959"	"hypothetical protein"	"L227_enr_S_6D_bin01"
"L227_S_6D_2"	"Prodigal:2.6"	6024	6914	"+"	"L227_S_6D_01960"	"FAD:protein FMN transferase"	"L227_enr_S_6D_bin01"
"L304_S_6D_0"	"Prodigal:2.6"	-5597	-2913	"-"	"L304_S_6D_00450"	"LPS-assembly protein LptD"	"L304_enr_S_6D_bin01"
"L304_S_6D_0"	"Prodigal:2.6"	-2772	-1573	"+"	"L304_S_6D_00449"	"Tryptophan synthase beta chain"	"L304_enr_S_6D_bin01"
"L304_S_6D_0"	"Prodigal:2.6"	-466	-83	"+"	"L304_S_6D_00447"	"Cytochrome c-555"	"L304_enr_S_6D_bin01"
"L304_S_6D_0"	"Prodigal:2.6"	0	1241	"+"	"L304_S_6D_00446"	"cyc2"	"L304_enr_S_6D_bin01"
"L304_S_6D_0"	"Prodigal:2.6"	1573	1791	"-"	"L304_S_6D_00445"	"hypothetical protein"	"L304_enr_S_6D_bin01"
"L304_S_6D_0"	"Prodigal:2.6"	2064	2927	"+"	"L304_S_6D_00444"	"hypothetical protein"	"L304_enr_S_6D_bin01"
"L304_S_6D_0"	"Prodigal:2.6"	3137	3598	"+"	"L304_S_6D_00443"	"hypothetical protein"	"L304_enr_S_6D_bin01"
